month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-09,14.8102,17.1761,50.518,50.518
2013-10,20.9676,23.8343,70.0995,70.0995
2013-11,56.0938,63.223,185.955,185.955
2013-12,62.8733,70.8499,208.3794,208.3794
2014-01,33.068,37.7112,110.9158,110.9158
2014-03,27.3474,31.1118,91.5059,91.5059
2014-04,38.9747,44.4296,130.6826,130.6826
2014-05,35.0462,40.6734,119.6304,119.6304
2014-06,56.6568,64.1173,188.5767,188.5767
2014-07,48.074799999999996,54.9185,161.5323,161.5323
2014-08,67.1135,75.5406,222.1792,222.1792
2014-09,58.661,66.368,195.2052,195.2052
2014-10,62.5616,70.6099,207.6728,207.6728
2014-11,58.5458,64.9176,190.9331,190.9331
2014-12,85.1211,93.9622,276.363,276.363
2015-01,56.1395,62.5134,183.8659,183.8659
2015-02,61.478699999999996,67.8615,199.5947,199.5947
2015-03,61.5127,68.7646,202.2549,202.2549
2015-04,54.787,61.7134,181.5102,181.5102
2015-05,43.0128,48.4547,142.5221,142.5221
2015-06,3.0302,3.3863,9.9599,9.9599
