month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2014-03,29.1288,26.4898,32.888,109.6908,109.6908,109.6908
2014-04,32.6067,28.6668,35.9743,120.0324,120.0324,120.0324
2014-05,20.7697,19.1419,23.9731,80.0334,80.0334,80.0334
2014-06,28.6036,25.8243,32.3901,108.0681,108.0681,108.0681
2014-07,72.4381,63.6217,78.6155,262.1546,262.1546,262.1546
2014-08,25.615,23.6808,29.3857,98.0457,98.0457,98.0457
2014-09,25.655,23.5698,29.3664,97.9709,97.9709,97.9709
2014-10,29.3549,26.6458,32.9526,109.9214,109.9214,109.9214
2014-11,27.932,25.0076,30.9556,103.2563,103.2563,103.2563
2014-12,32.6137,29.3221,35.4834,118.3408,118.3408,118.3408
2015-01,30.6036,27.586,33.5864,112.0169,112.0169,112.0169
2015-02,28.944300000000002,26.3826,31.4805,105.0041,105.0041,105.0041
2015-03,22.5996,20.7123,25.2877,84.3543,84.3543,84.3543
2015-04,26.8385,24.0546,29.6219,98.806,98.806,98.806
2015-05,19.7097,18.0062,21.8507,72.8784,72.8784,72.8784
2015-06,5.6831,5.2056000000000004,6.1252,20.4493,20.4493,20.4493
