label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Freezer),153.0989,140.7004,177.8598,592.8642,592.8642,592.8642
Appliance2 (Fridge-Freezer),77.237,71.085,89.5097,298.3771,298.3771,298.3771
Appliance3 (Tumble Dryer),16.2069,13.6621,16.207,54.0258,54.0258,54.0258
Appliance4 (Washing Machine),29.3798,26.2441,30.682,102.2906,102.2906,102.2906
Appliance5 (Computer Site),60.7633,51.4113,63.2079,210.693,210.693,210.693
Appliance6 (Television Site),51.6011,46.0179,58.1306,193.7388,193.7388,193.7388
Appliance7 (Microwave),14.7414,13.9118,15.9041,54.2512,54.2512,54.2512
Appliance8 (Kettle),54.5236,49.5457,56.8077,189.3575,189.3575,189.3575
Appliance9 (Plug Site),1.5443,1.3396,1.6283,5.4252,5.4252,5.4252
Total,459.09630000000004,413.91790000000003,509.93710000000004,1701.0233999999998,1701.0233999999998,1701.0233999999998
