label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge),50.5905,46.4966,58.0476,193.4951,193.4951,193.4951
Appliance2 (Freezer (Garage)),143.4997,130.5629,164.5787,548.5901,548.5901,548.5901
Appliance3 (Freezer),4.3367,3.9899,4.7114,15.7056,15.7056,15.7056
Appliance4 (Tumble Dryer),129.38,111.0569,130.1293,433.7734,433.7734,433.7734
Appliance5 (Washing Machine),128.7341,124.3852,136.0802,453.6036,453.6036,453.6036
Appliance6 (Dishwasher),220.4318,192.42,222.7457,742.5497,742.5497,742.5497
Appliance7 (Television Site),40.2352,32.5258,41.0798,136.9317,136.9317,136.9317
Appliance8 (Toaster),8.9059,8.2707,9.3655,31.2193,31.2193,31.2193
Appliance9 (Kettle),27.9157,23.6637,28.2752,94.2546,94.2546,94.2546
Total,754.0296000000001,673.3717,795.0134,2650.1231000000002,2650.1231000000002,2650.1231000000002
