label,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
Appliance1 (Fridge-Freezer),232.7822,271.6167,798.8639,798.8639
Appliance2 (Tumble Dryer),282.0582,313.2377,921.3465,921.3465
Appliance3 (Washing Machine),91.7552,103.3075,303.8486,303.8486
Appliance4 (Dishwasher),86.2791,96.7721,284.627,284.627
Appliance5 (Computer Site),162.3754,189.1342,556.2765,556.2765
Appliance6 (Television Site),63.44,70.0239,205.9661,205.9661
Appliance7 (Combination Microwave),111.9232,121.5149,357.409,357.409
Appliance8 (Kettle),76.7412,87.2757,256.6943,256.6943
Appliance9 (Toaster),21.9813,25.2341,74.2173,74.2173
Total,1129.3358,1278.1167999999998,3759.2491999999997,3759.2491999999997
