month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-09,13.4399,14.9868,44.0787,44.0787
2013-10,48.9777,55.3174,162.7037,162.7037
2013-11,70.8006,79.4802,233.7672,233.7672
2013-12,58.6677,64.8619,190.7755,190.7755
2014-01,38.6664,42.7911,125.8633,125.8633
2014-02,8.0288,8.9224,26.2442,26.2442
2014-03,49.5612,55.6568,163.6997,163.6997
2014-04,50.2024,56.0397,164.8239,164.8239
2014-05,72.0488,82.03790000000001,241.29309999999998,241.29309999999998
2014-06,113.4219,131.1198,385.6509,385.6509
2014-07,39.481,44.8975,132.05700000000002,132.05700000000002
2014-08,31.9336,35.9293,105.6769,105.6769
2014-09,41.8897,47.1963,138.8153,138.8153
2014-10,56.7113,63.312,186.22299999999998,186.22299999999998
2014-11,60.5641,67.7115,199.1585,199.1585
2014-12,92.8148,104.0814,306.12739999999997,306.12739999999997
2015-01,71.6838,81.6892,240.2673,240.2673
2015-02,53.1257,61.1276,179.784,179.784
2015-03,48.2576,55.8029,164.1328,164.1328
2015-04,38.3581,43.7709,128.7399,128.7399
2015-05,38.352,44.2185,130.0555,130.0555
2015-06,26.1117,30.0467,88.3738,88.3738
2015-07,6.237,7.119,20.9376,20.9376
