month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-03,21.8985,29.4954,49.1428,49.1428
2014-04,48.2684,65.0667,108.39789999999999,108.39789999999999
2014-05,61.4861,82.1276,136.8397,136.8397
2014-06,54.6765,72.9534,121.5386,121.5386
2014-07,54.4741,72.1108,120.1437,120.1437
2014-08,52.3566,69.3941,115.6079,115.6079
2014-09,54.671,71.5349,119.1837,119.1837
2014-10,76.1382,102.0017,169.9468,169.9468
2014-11,46.7368,63.0592,105.0427,105.0427
2014-12,47.5764,64.2252,106.9919,106.9919
2015-01,55.6099,75.022,124.9863,124.9863
2015-02,63.9424,86.4161,143.9831,143.9831
2015-03,28.1303,37.7103,62.8223,62.8223
2015-04,52.3896,70.0097,116.626,116.626
2015-05,36.788,49.4005,82.2828,82.2828
2015-06,28.8836,38.1182,63.4965,63.4965
