label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Fridge-Freezer),127.8571,171.7696,286.2809,286.2809
Appliance2 (Tumble Dryer),59.0681,77.5734,129.289,129.289
Appliance3 (Washing Machine),86.9568,117.8118,196.3529,196.3529
Appliance4 (Dishwasher),6.8993,8.9477,14.9127,14.9127
Appliance5 (Computer Site),5.1485,6.7413,11.2352,11.2352
Appliance6 (Television Site),99.2883,125.1653,208.6092,208.6092
Appliance7 (Microwave),10.1422,11.9711,19.9525,19.9525
Appliance8 (Kettle),57.071,76.626,127.7092,127.7092
Appliance9 (Toaster),1.4993,2.0415,3.4019,3.4019
Total,453.93059999999997,598.6477000000001,997.7434999999998,997.7434999999998
