event_id,appliance_name,appliance_ID,Shiftability,original_start_time,original_end_time,duration(min),energy(W),is_reschedulable
Fridge-Freezer_2013-09-26_01,Fridge-Freezer,Appliance1,Base,2013-09-26 09:58:00,2013-09-26 10:12:00,14.0,1378.95,False
Fridge-Freezer_2013-09-26_02,Fridge-Freezer,Appliance1,Base,2013-09-26 10:27:00,2013-09-26 10:42:00,15.0,1442.73,False
Fridge-Freezer_2013-09-26_03,Fridge-Freezer,Appliance1,Base,2013-09-26 10:58:00,2013-09-26 11:14:00,16.0,1529.6,False
Fridge-Freezer_2013-09-26_04,Fridge-Freezer,Appliance1,Base,2013-09-26 11:30:00,2013-09-26 11:45:00,15.0,1379.63,False
Fridge-Freezer_2013-09-26_05,Fridge-Freezer,Appliance1,Base,2013-09-26 12:01:00,2013-09-26 12:15:00,14.0,1379.07,False
Fridge-Freezer_2013-09-26_06,Fridge-Freezer,Appliance1,Base,2013-09-26 12:31:00,2013-09-26 12:45:00,14.0,1413.19,False
Fridge-Freezer_2013-09-26_07,Fridge-Freezer,Appliance1,Base,2013-09-26 13:02:00,2013-09-26 13:15:00,13.0,1309.06,False
Fridge-Freezer_2013-09-26_08,Fridge-Freezer,Appliance1,Base,2013-09-26 13:31:00,2013-09-26 13:44:00,13.0,1273.43,False
Fridge-Freezer_2013-09-26_09,Fridge-Freezer,Appliance1,Base,2013-09-26 14:01:00,2013-09-26 14:16:00,15.0,1474.28,False
Fridge-Freezer_2013-09-26_10,Fridge-Freezer,Appliance1,Base,2013-09-26 14:32:00,2013-09-26 14:45:00,13.0,1257.32,False
Fridge-Freezer_2013-09-26_11,Fridge-Freezer,Appliance1,Base,2013-09-26 15:00:00,2013-09-26 15:13:00,13.0,1230.15,False
Fridge-Freezer_2013-09-26_12,Fridge-Freezer,Appliance1,Base,2013-09-26 15:29:00,2013-09-26 15:50:00,21.0,2060.49,False
Fridge-Freezer_2013-09-26_13,Fridge-Freezer,Appliance1,Base,2013-09-26 16:07:00,2013-09-26 16:20:00,13.0,1235.54,False
Fridge-Freezer_2013-09-26_14,Fridge-Freezer,Appliance1,Base,2013-09-26 16:36:00,2013-09-26 16:49:00,13.0,1335.28,False
