month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-11,66.2106,75.2894,221.4439,221.4439
2013-12,55.6445,60.1536,176.9269,176.9269
2014-01,35.6613,38.4718,113.1559,113.1559
2014-03,24.3521,27.1759,79.9356,79.9356
2014-04,56.3754,64.64959999999999,190.1526,190.1526
2014-05,32.1539,36.016,105.9308,105.9308
2014-06,58.3296,67.18990000000001,197.6196,197.6196
2014-07,17.2127,19.5443,57.4856,57.4856
2014-08,25.6033,28.3793,83.467,83.467
2014-09,63.5723,72.59270000000001,213.5108,213.5108
2014-10,34.7251,38.3675,112.8457,112.8457
2014-11,43.5271,47.486,139.6703,139.6703
2014-12,69.7793,77.7308,228.6251,228.6251
2015-01,49.1434,54.1275,159.2038,159.2038
2015-02,36.4672,40.0451,117.786,117.786
2015-03,41.4136,46.3899,136.4466,136.4466
2015-04,47.6623,54.578,160.5276,160.5276
2015-05,25.6552,28.9071,85.0281,85.0281
2015-06,21.1767,24.0971,70.8748,70.8748
2015-07,5.6232,6.5117,19.152,19.152
