month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-10,8.8323,8.1462,10.4216,34.7316,34.7316,34.7316
2013-11,32.9454,34.0451,52.501,175.0137,175.0137,175.0137
2013-12,42.1687,43.2175,68.4639,228.2157,228.2157,228.2157
2014-01,28.671,29.3594,47.4767,158.2563,158.2563,158.2563
2014-03,30.3548,31.1919,49.9754,166.5824,166.5824,166.5824
2014-04,20.9504,19.7565,26.3486,87.8359,87.8359,87.8359
2014-05,16.2838,14.9053,18.6268,62.0968,62.0968,62.0968
2014-06,18.4147,16.7799,20.6306,68.7735,68.7735,68.7735
2014-07,21.7511,19.5566,24.1797,80.6003,80.6003,80.6003
2014-08,18.7553,17.3413,21.0985,70.3323,70.3323,70.3323
2014-09,17.7689,16.4515,20.5509,68.5079,68.5079,68.5079
2014-10,16.026,14.2472,18.4897,61.6359,61.6359,61.6359
2014-11,17.735,16.5479,21.9004,73.0056,73.0056,73.0056
2014-12,27.8916,26.2328,38.2739,127.5845,127.5845,127.5845
2015-01,17.0935,15.668,20.3268,67.767,67.767,67.767
2015-02,31.1917,28.7264,39.9097,133.0398,133.0398,133.0398
2015-03,39.6635,39.257600000000004,59.733,199.1135,199.1135,199.1135
2015-04,24.6544,23.4373,30.0844,100.2803,100.2803,100.2803
2015-05,12.8871,11.8604,14.5114,48.3762,48.3762,48.3762
2015-06,11.5807,10.7126,13.1893,43.9614,43.9614,43.9614
2015-07,6.2188,5.685,7.2366,24.1256,24.1256,24.1256
