label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge),59.4025,54.8333,68.6835,228.9523,228.9523,228.9523
Appliance2 (Chest Freezer),56.4627,51.868,65.3224,217.7443,217.7443,217.7443
Appliance3 (Upright Freezer),99.546,91.7655,115.7548,385.8577,385.8577,385.8577
Appliance4 (Tumble Dryer),4.6469,3.8454,5.0615,16.8818,16.8818,16.8818
Appliance5 (Washing Machine),33.024,30.2631,38.0806,126.9365,126.9365,126.9365
Appliance6 (Dishwasher),32.3015,29.6342,43.101,143.6733,143.6733,143.6733
Appliance7 (Computer Site),9.5852,7.984,9.6062,32.021,32.021,32.021
Appliance8 (Television Site),22.5417,18.6114,23.5141,78.4162,78.4162,78.4162
Appliance9 (Electric Heater),144.3282,154.3215,254.8048,849.3531,849.3531,849.3531
Total,461.8387,443.1264,623.9289,2079.8361999999997,2079.8361999999997,2079.8361999999997
