event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_Economy_7,energy_Economy_7,cost_Economy_10,energy_Economy_10,cost_Standard,energy_Standard
Fridge-Freezer_2013-09-26_01,Fridge-Freezer,Appliance1,Base,2013-09-26 09:56:00,2013-09-27 06:20:00,1224.0,55864.4,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.2443,0.9311,0.2124,0.9311,0.2793,0.9311
Fridge-Freezer_2013-09-27_01,Fridge-Freezer,Appliance1,Base,2013-09-27 06:21:00,2013-09-27 06:41:00,20.0,7307.86,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.0183,0.1218,0.0365,0.1218,0.0365,0.1218
Fridge-Freezer_2013-09-27_02,Fridge-Freezer,Appliance1,Base,2013-09-27 06:44:00,2013-09-28 03:19:00,1235.0,59957.61,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.2711,0.9993,0.2556,0.9993,0.2998,0.9993
Fridge-Freezer_2013-09-28_01,Fridge-Freezer,Appliance1,Base,2013-09-28 03:20:00,2013-09-28 03:42:00,22.0,7815.71,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.0195,0.1303,0.0195,0.1303,0.0391,0.1303
Fridge-Freezer_2013-09-28_02,Fridge-Freezer,Appliance1,Base,2013-09-28 03:45:00,2013-09-28 10:12:00,387.0,31104.67,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.1032,0.5184,0.1272,0.5184,0.1555,0.5184
Fridge-Freezer_2013-09-28_03,Fridge-Freezer,Appliance1,Base,2013-09-28 10:13:00,2013-09-28 10:33:00,20.0,7364.8,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.0368,0.1227,0.0368,0.1227,0.0368,0.1227
Fridge-Freezer_2013-09-28_04,Fridge-Freezer,Appliance1,Base,2013-09-28 10:35:00,2013-09-29 03:41:00,1026.0,59552.31,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.2783,0.9925,0.2414,0.9925,0.2978,0.9925
Fridge-Freezer_2013-09-29_01,Fridge-Freezer,Appliance1,Base,2013-09-29 03:42:00,2013-09-29 04:04:00,22.0,7916.76,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.0198,0.1319,0.0198,0.1319,0.0396,0.1319
Fridge-Freezer_2013-09-29_02,Fridge-Freezer,Appliance1,Base,2013-09-29 04:07:00,2013-09-29 15:56:00,709.0,39295.44,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.1614,0.6549,0.1532,0.6549,0.1965,0.6549
Fridge-Freezer_2013-09-29_03,Fridge-Freezer,Appliance1,Base,2013-09-29 15:58:00,2013-09-29 16:19:00,21.0,7728.48,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.0386,0.1288,0.0368,0.1288,0.0386,0.1288
Fridge-Freezer_2013-09-29_04,Fridge-Freezer,Appliance1,Base,2013-09-29 16:22:00,2013-09-30 13:03:00,1241.0,62923.01,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.2668,1.0487,0.2684,1.0487,0.3146,1.0487
Fridge-Freezer_2013-09-30_01,Fridge-Freezer,Appliance1,Base,2013-09-30 13:04:00,2013-09-30 13:26:00,22.0,7830.55,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.0392,0.1305,0.0196,0.1305,0.0392,0.1305
Fridge-Freezer_2013-09-30_02,Fridge-Freezer,Appliance1,Base,2013-09-30 13:29:00,2013-10-01 10:00:00,1231.0,64092.44,False,Appliance1,Appliance1 (Fridge-Freezer),2013-09,0.2705,1.0682,0.2462,1.0682,0.3205,1.0682
Fridge-Freezer_2013-10-01_01,Fridge-Freezer,Appliance1,Base,2013-10-01 10:01:00,2013-10-01 10:23:00,22.0,7885.3,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0394,0.1314,0.0394,0.1314,0.0394,0.1314
Fridge-Freezer_2013-10-01_02,Fridge-Freezer,Appliance1,Base,2013-10-01 10:26:00,2013-10-02 03:14:00,1008.0,53791.55,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.2502,0.8965,0.2194,0.8965,0.269,0.8965
Fridge-Freezer_2013-10-02_01,Fridge-Freezer,Appliance1,Base,2013-10-02 03:15:00,2013-10-02 03:36:00,21.0,7722.37,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0193,0.1287,0.0193,0.1287,0.0386,0.1287
Fridge-Freezer_2013-10-02_02,Fridge-Freezer,Appliance1,Base,2013-10-02 03:40:00,2013-10-03 06:17:00,1597.0,85160.19,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.3334,1.4193,0.3255,1.4193,0.4258,1.4193
Fridge-Freezer_2013-10-03_01,Fridge-Freezer,Appliance1,Base,2013-10-03 06:20:00,2013-10-04 05:07:00,1367.0,65640.17,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.2841,1.094,0.2706,1.094,0.3282,1.094
Fridge-Freezer_2013-10-04_01,Fridge-Freezer,Appliance1,Base,2013-10-04 05:08:00,2013-10-04 05:29:00,21.0,7396.87,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0185,0.1233,0.0185,0.1233,0.037,0.1233
Fridge-Freezer_2013-10-04_02,Fridge-Freezer,Appliance1,Base,2013-10-04 05:32:00,2013-10-05 08:33:00,1621.0,79402.34,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.3256,1.3234,0.3216,1.3234,0.397,1.3234
Fridge-Freezer_2013-10-05_01,Fridge-Freezer,Appliance1,Base,2013-10-05 08:34:00,2013-10-05 08:56:00,22.0,7962.09,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0398,0.1327,0.0398,0.1327,0.0398,0.1327
Fridge-Freezer_2013-10-05_02,Fridge-Freezer,Appliance1,Base,2013-10-05 08:59:00,2013-10-05 20:44:00,705.0,41468.74,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.2073,0.6911,0.1787,0.6911,0.2073,0.6911
Fridge-Freezer_2013-10-05_03,Fridge-Freezer,Appliance1,Base,2013-10-05 20:46:00,2013-10-05 21:08:00,22.0,7833.47,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0392,0.1306,0.0196,0.1306,0.0392,0.1306
Fridge-Freezer_2013-10-05_04,Fridge-Freezer,Appliance1,Base,2013-10-05 21:10:00,2013-10-06 06:49:00,579.0,34065.11,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.1305,0.5678,0.1255,0.5678,0.1703,0.5678
Fridge-Freezer_2013-10-06_01,Fridge-Freezer,Appliance1,Base,2013-10-06 06:50:00,2013-10-06 12:52:00,362.0,17347.45,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0836,0.2891,0.0867,0.2891,0.0867,0.2891
Fridge-Freezer_2013-10-06_02,Fridge-Freezer,Appliance1,Base,2013-10-06 12:54:00,2013-10-06 13:14:00,20.0,7234.81,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0362,0.1206,0.023,0.1206,0.0362,0.1206
Fridge-Freezer_2013-10-06_03,Fridge-Freezer,Appliance1,Base,2013-10-06 13:17:00,2013-10-07 05:12:00,955.0,54418.23,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.2403,0.907,0.2007,0.907,0.2721,0.907
Fridge-Freezer_2013-10-07_01,Fridge-Freezer,Appliance1,Base,2013-10-07 05:13:00,2013-10-07 05:34:00,21.0,7565.45,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0189,0.1261,0.0189,0.1261,0.0378,0.1261
Fridge-Freezer_2013-10-07_02,Fridge-Freezer,Appliance1,Base,2013-10-07 05:37:00,2013-10-07 20:02:00,865.0,51167.13,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.2292,0.8528,0.2302,0.8528,0.2558,0.8528
Fridge-Freezer_2013-10-07_03,Fridge-Freezer,Appliance1,Base,2013-10-07 20:04:00,2013-10-07 20:26:00,22.0,8115.14,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0406,0.1353,0.0203,0.1353,0.0406,0.1353
Fridge-Freezer_2013-10-07_04,Fridge-Freezer,Appliance1,Base,2013-10-07 20:29:00,2013-10-08 19:37:00,1388.0,69670.02,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.2975,1.1612,0.2727,1.1612,0.3484,1.1612
Fridge-Freezer_2013-10-08_01,Fridge-Freezer,Appliance1,Base,2013-10-08 19:39:00,2013-10-08 20:00:00,21.0,7951.85,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0398,0.1325,0.0398,0.1325,0.0398,0.1325
Fridge-Freezer_2013-10-08_02,Fridge-Freezer,Appliance1,Base,2013-10-08 20:03:00,2013-10-09 18:17:00,1334.0,73473.31,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.3199,1.2246,0.286,1.2246,0.3674,1.2246
Fridge-Freezer_2013-10-09_01,Fridge-Freezer,Appliance1,Base,2013-10-09 18:20:00,2013-10-10 18:40:00,1460.0,71741.02,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.3127,1.1957,0.293,1.1957,0.3587,1.1957
Fridge-Freezer_2013-10-10_01,Fridge-Freezer,Appliance1,Base,2013-10-10 18:42:00,2013-10-10 19:04:00,22.0,7931.92,False,Appliance1,Appliance1 (Fridge-Freezer),2013-10,0.0397,0.1322,0.0397,0.1322,0.0397,0.1322
