label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge-Freezer),198.0907,182.6541,225.0508,750.1773,750.1773,750.1773
Appliance2 (Tumble Dryer),262.3335,230.3362,276.3909,921.3465,921.3465,921.3465
Appliance3 (Washing Machine),85.0334,76.2172,91.1535,303.8486,303.8486,303.8486
Appliance4 (Dishwasher),78.5145,63.9106,85.3878,284.627,284.627,284.627
Appliance5 (Computer Site),146.8809,134.6404,166.8827,556.2765,556.2765,556.2765
Appliance6 (Television Site),60.3448,50.2341,61.7788,205.9661,205.9661,205.9661
Appliance7 (Combination Microwave),102.5465,99.9906,107.2223,357.409,357.409,357.409
Appliance8 (Kettle),67.1056,67.5754,77.0096,256.6943,256.6943,256.6943
Appliance9 (Toaster),19.1222,20.1296,22.2656,74.2173,74.2173,74.2173
Total,1019.9721000000001,925.6882,1113.1419999999998,3710.5625999999997,3710.5625999999997,3710.5625999999997
