month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-11,85.838,72.704,91.63709999999999,305.4581,305.4581,305.4581
2013-12,13.3312,11.2649,13.8567,46.1874,46.1874,46.1874
2014-01,11.5356,9.988199999999999,11.9203,39.7364,39.7364,39.7364
2014-03,12.9946,11.374,13.5439,45.146,45.146,45.146
2014-04,15.3821,13.2207,16.0421,53.4775,53.4775,53.4775
2014-05,12.2037,10.9163,12.594,41.977199999999996,41.977199999999996,41.977199999999996
2014-06,14.5433,13.2227,15.461,51.5414,51.5414,51.5414
2014-07,15.1385,13.5562,16.1292,53.7678,53.7678,53.7678
2014-08,15.9661,14.3718,16.85,56.1713,56.1713,56.1713
2014-09,13.9936,12.3603,14.9026,49.6748,49.6748,49.6748
2014-10,31.9907,27.205199999999998,33.7436,112.4822,112.4822,112.4822
2014-11,19.714399999999998,16.893,20.8609,69.5367,69.5367,69.5367
2014-12,40.122299999999996,33.8426,41.9474,139.8246,139.8246,139.8246
2015-01,24.8228,21.366300000000003,26.1841,87.2772,87.2772,87.2772
2015-02,13.494,11.0763,13.9542,46.5134,46.5134,46.5134
2015-03,11.9083,10.6214,12.4915,41.6355,41.6355,41.6355
2015-04,17.4526,15.0134,17.9165,59.7243,59.7243,59.7243
2015-05,13.3144,11.5436,14.2236,47.4114,47.4114,47.4114
2015-06,9.6596,8.5618,10.6784,35.6106,35.6106,35.6106
