event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,season,duration(min),energy(W)
Washing_Machine_2014-05-12_01,Washing Machine,2014-05-12 21:33:00,2014-05-12 23:15:00,2014-05-13 06:00:00,2014-05-13 07:42:00,SUCCESS,summer,102.0,12781.44
Washing_Machine_2014-05-14_03,Washing Machine,2014-05-14 21:25:00,2014-05-14 23:08:00,2014-05-15 06:00:00,2014-05-15 07:43:00,SUCCESS,summer,103.0,14037.16
Washing_Machine_2014-05-22_01,Washing Machine,2014-05-22 21:46:00,2014-05-22 23:30:00,2014-05-23 06:00:00,2014-05-23 07:44:00,SUCCESS,summer,104.0,15077.36
Washing_Machine_2014-05-27_03,Washing Machine,2014-05-27 21:42:00,2014-05-27 23:31:00,2014-05-28 06:00:00,2014-05-28 07:49:00,SUCCESS,summer,109.0,27862.99
Washing_Machine_2014-05-29_01,Washing Machine,2014-05-29 21:02:00,2014-05-29 22:45:00,2014-05-30 06:00:00,2014-05-30 07:43:00,SUCCESS,summer,103.0,15917.77
Washing_Machine_2014-06-01_01,Washing Machine,2014-06-01 23:08:00,2014-06-02 00:53:00,2014-06-02 06:00:00,2014-06-02 07:45:00,SUCCESS,summer,105.0,16503.45
Washing_Machine_2014-06-02_09,Washing Machine,2014-06-02 23:18:00,2014-06-03 01:11:00,2014-06-03 06:00:00,2014-06-03 07:53:00,SUCCESS,summer,113.0,36700.28
Washing_Machine_2014-06-04_01,Washing Machine,2014-06-04 17:49:00,2014-06-04 19:33:00,2014-06-05 06:00:00,2014-06-05 07:44:00,SUCCESS,summer,104.0,16188.53
Washing_Machine_2014-06-05_01,Washing Machine,2014-06-05 22:58:00,2014-06-06 00:44:00,2014-06-06 06:00:00,2014-06-06 07:46:00,SUCCESS,summer,106.0,18131.12
Washing_Machine_2014-06-08_02,Washing Machine,2014-06-08 23:12:00,2014-06-09 01:02:00,2014-06-09 06:00:00,2014-06-09 07:50:00,SUCCESS,summer,110.0,32246.09
Washing_Machine_2014-06-09_01,Washing Machine,2014-06-09 22:27:00,2014-06-10 00:10:00,2014-06-10 06:00:00,2014-06-10 07:43:00,SUCCESS,summer,103.0,13854.35
Washing_Machine_2014-06-11_01,Washing Machine,2014-06-11 21:31:00,2014-06-11 22:59:00,2014-06-12 06:00:00,2014-06-12 07:28:00,SUCCESS,summer,88.0,11705.05
Washing_Machine_2014-06-11_02,Washing Machine,2014-06-11 23:00:00,2014-06-11 23:14:00,2014-06-12 07:28:00,2014-06-12 07:42:00,SUCCESS,summer,14.0,2266.14
Washing_Machine_2014-06-14_02,Washing Machine,2014-06-14 14:55:00,2014-06-14 16:37:00,2014-06-15 06:00:00,2014-06-15 07:42:00,SUCCESS,summer,102.0,10673.06
Washing_Machine_2014-06-17_01,Washing Machine,2014-06-17 22:53:00,2014-06-18 00:36:00,2014-06-18 06:00:00,2014-06-18 07:43:00,SUCCESS,summer,103.0,11992.8
Washing_Machine_2014-06-19_01,Washing Machine,2014-06-19 23:22:00,2014-06-20 01:05:00,2014-06-20 06:00:00,2014-06-20 07:43:00,SUCCESS,summer,103.0,14374.07
Washing_Machine_2014-06-21_01,Washing Machine,2014-06-21 22:25:00,2014-06-22 00:09:00,2014-06-22 06:00:00,2014-06-22 07:44:00,SUCCESS,summer,104.0,11321.66
Washing_Machine_2014-06-22_01,Washing Machine,2014-06-22 20:54:00,2014-06-22 22:36:00,2014-06-23 06:00:00,2014-06-23 07:42:00,SUCCESS,summer,102.0,11800.5
Washing_Machine_2014-06-25_01,Washing Machine,2014-06-25 22:22:00,2014-06-26 00:06:00,2014-06-26 06:00:00,2014-06-26 07:44:00,SUCCESS,summer,104.0,14061.98
Washing_Machine_2014-06-28_01,Washing Machine,2014-06-28 21:35:00,2014-06-28 23:19:00,2014-06-29 06:00:00,2014-06-29 07:44:00,SUCCESS,summer,104.0,10631.58
Washing_Machine_2014-06-29_01,Washing Machine,2014-06-29 16:48:00,2014-06-29 18:33:00,2014-06-30 06:00:00,2014-06-30 07:45:00,SUCCESS,summer,105.0,14826.22
Washing_Machine_2014-06-30_01,Washing Machine,2014-06-30 21:55:00,2014-06-30 23:00:00,2014-07-01 06:00:00,2014-07-01 07:05:00,SUCCESS,summer,65.0,5851.04
Washing_Machine_2014-06-30_02,Washing Machine,2014-06-30 23:01:00,2014-06-30 23:38:00,2014-07-01 07:05:00,2014-07-01 07:42:00,SUCCESS,summer,37.0,4597.36
Washing_Machine_2014-07-01_01,Washing Machine,2014-07-01 18:03:00,2014-07-01 19:22:00,2014-07-02 06:00:00,2014-07-02 07:19:00,SUCCESS,summer,79.0,11083.58
Washing_Machine_2014-07-05_01,Washing Machine,2014-07-05 21:35:00,2014-07-05 23:17:00,2014-07-06 06:00:00,2014-07-06 07:42:00,SUCCESS,summer,102.0,11343.06
Washing_Machine_2014-07-08_01,Washing Machine,2014-07-08 14:54:00,2014-07-08 15:03:00,2014-07-09 06:00:00,2014-07-09 06:09:00,SUCCESS,summer,9.0,998.21
Washing_Machine_2014-07-08_02,Washing Machine,2014-07-08 21:04:00,2014-07-08 22:45:00,2014-07-09 06:09:00,2014-07-09 07:50:00,SUCCESS,summer,101.0,13672.59
Washing_Machine_2014-07-10_01,Washing Machine,2014-07-10 22:32:00,2014-07-11 00:16:00,2014-07-11 06:00:00,2014-07-11 07:44:00,SUCCESS,summer,104.0,14754.69
Washing_Machine_2014-07-13_01,Washing Machine,2014-07-13 12:27:00,2014-07-13 14:10:00,2014-07-13 12:32:00,2014-07-13 14:15:00,SUCCESS,summer,103.0,13073.81
Washing_Machine_2014-07-19_01,Washing Machine,2014-07-19 23:22:00,2014-07-20 01:03:00,2014-07-20 06:00:00,2014-07-20 07:41:00,SUCCESS,summer,101.0,11517.22
Washing_Machine_2014-07-20_01,Washing Machine,2014-07-20 22:47:00,2014-07-21 00:29:00,2014-07-21 06:00:00,2014-07-21 07:42:00,SUCCESS,summer,102.0,11965.32
Washing_Machine_2014-07-21_01,Washing Machine,2014-07-21 15:16:00,2014-07-21 15:29:00,2014-07-22 06:00:00,2014-07-22 06:13:00,SUCCESS,summer,13.0,1063.36
Washing_Machine_2014-07-21_02,Washing Machine,2014-07-21 15:30:00,2014-07-21 15:35:00,2014-07-22 06:13:00,2014-07-22 06:18:00,SUCCESS,summer,5.0,261.78
Washing_Machine_2014-07-21_04,Washing Machine,2014-07-21 15:41:00,2014-07-21 16:00:00,2014-07-22 06:18:00,2014-07-22 06:37:00,SUCCESS,summer,19.0,1218.11
Washing_Machine_2014-07-21_05,Washing Machine,2014-07-21 16:01:00,2014-07-21 16:08:00,2014-07-22 06:37:00,2014-07-22 06:44:00,SUCCESS,summer,7.0,356.46
Washing_Machine_2014-07-21_06,Washing Machine,2014-07-21 16:09:00,2014-07-21 16:21:00,2014-07-22 06:44:00,2014-07-22 06:56:00,SUCCESS,summer,12.0,674.69
Washing_Machine_2014-07-21_07,Washing Machine,2014-07-21 16:22:00,2014-07-21 16:27:00,2014-07-22 06:56:00,2014-07-22 07:01:00,SUCCESS,summer,5.0,703.05
Washing_Machine_2014-07-21_08,Washing Machine,2014-07-21 22:31:00,2014-07-22 00:24:00,2014-07-22 07:01:00,2014-07-22 08:54:00,SUCCESS,summer,113.0,29248.8
Washing_Machine_2014-07-22_01,Washing Machine,2014-07-22 21:01:00,2014-07-22 22:43:00,2014-07-23 06:00:00,2014-07-23 07:42:00,SUCCESS,summer,102.0,11673.74
Washing_Machine_2014-07-23_01,Washing Machine,2014-07-23 15:15:00,2014-07-23 15:22:00,2014-07-24 06:00:00,2014-07-24 06:07:00,SUCCESS,summer,7.0,35.47
Washing_Machine_2014-07-23_04,Washing Machine,2014-07-23 15:44:00,2014-07-23 15:51:00,2014-07-24 06:07:00,2014-07-24 06:14:00,SUCCESS,summer,7.0,535.17
