month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-03,48.9413,65.852,109.6913,109.6913
2014-04,53.8225,72.0711,120.03349999999999,120.03349999999999
2014-05,35.4402,48.0672,80.034,80.034
2014-06,48.9984,64.8939,108.0821,108.0821
2014-07,121.4724,157.34459999999999,262.1792,262.1792
2014-08,44.2597,58.8638,98.0478,98.0478
2014-09,44.4453,58.8377,98.002,98.002
2014-10,48.8339,66.003,109.9414,109.9414
2014-11,46.1284,61.9953,103.2595,103.2595
2014-12,53.0613,71.0458,118.3455,118.3455
2015-01,49.9639,67.2514,112.02,112.02
2015-02,46.886900000000004,63.0746,105.0664,105.0664
2015-03,37.6496,50.6804,84.4084,84.4084
2015-04,44.085300000000004,59.3328,98.8284,98.8284
2015-05,35.5404,47.6657,79.3976,79.3976
2015-06,12.0923,15.4571,25.7374,25.7374
