label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Freezer),270.0973,362.8854,604.8082,604.8082
Appliance2 (Fridge-Freezer),133.3855,179.0872,298.4842,298.4842
Appliance3 (Tumble Dryer),24.7125,32.4157,54.0258,54.0258
Appliance4 (Washing Machine),44.7866,61.37,102.2906,102.2906
Appliance5 (Computer Site),98.0811,126.4158,210.693,210.693
Appliance6 (Television Site),87.1263,116.2431,193.7388,193.7388
Appliance7 (Microwave),25.4,33.153,54.2512,54.2512
Appliance8 (Kettle),85.5724,113.6118,189.3575,189.3575
Appliance9 (Plug Site),2.4601,3.2544,5.4252,5.4252
Total,771.6218,1028.4364000000003,1713.0745,1713.0745
