month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-11,99.0909,132.8673,221.4439,221.4439
2013-12,78.8594,106.1564,176.9269,176.9269
2014-01,51.2505,67.893,113.1559,113.1559
2014-03,36.8381,47.961999999999996,79.9356,79.9356
2014-04,85.8146,114.0907,190.1526,190.1526
2014-05,48.190599999999996,63.5578,105.9308,105.9308
2014-06,89.6188,118.572,197.6196,197.6196
2014-07,27.0083,34.4924,57.4856,57.4856
2014-08,38.6908,50.08,83.467,83.467
2014-09,98.5902,128.1089,213.5108,213.5108
2014-10,51.5769,67.7071,112.8457,112.8457
2014-11,63.3143,83.8044,139.6703,139.6703
2014-12,102.5633,137.1761,228.6251,228.6251
2015-01,73.3649,95.5216,159.2038,159.2038
2015-02,54.6066,70.6725,117.786,117.786
2015-03,62.3516,81.8689,136.4466,136.4466
2015-04,72.0286,96.3165,160.5276,160.5276
2015-05,38.9134,51.017,85.0281,85.0281
2015-06,33.4134,42.5256,70.8748,70.8748
2015-07,8.6892,11.4914,19.152,19.152
