event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,is_shifted
Washing_Machine_2014-03-08_03,Washing Machine,Appliance2,2014-03-08 22:01:00,2014-03-08 22:56:00,2014-03-09 13:01:00,2014-03-09 13:56:00,55,0.03341002333777333,0.016705011668886664,0.016705011668886664,50.0,True
Washing_Machine_2014-03-09_01,Washing Machine,Appliance2,2014-03-09 10:02:00,2014-03-09 11:46:00,2014-03-09 13:02:00,2014-03-09 14:46:00,104,0.07885957124819626,0.03942978562409813,0.03942978562409813,50.0,True
Washing_Machine_2014-03-12_01,Washing Machine,Appliance2,2014-03-12 23:23:00,2014-03-13 01:06:00,2014-03-13 12:08:00,2014-03-13 13:51:00,103,0.07152584253246752,0.059224035082972554,0.012301807449494967,17.199108761159778,True
Washing_Machine_2014-03-14_01,Washing Machine,Appliance2,2014-03-14 22:27:00,2014-03-15 00:09:00,2014-03-15 12:12:00,2014-03-15 13:54:00,102,0.07462261507936509,0.058992781746031724,0.015629833333333364,20.945169660310363,True
Washing_Machine_2014-03-16_01,Washing Machine,Appliance2,2014-03-16 00:26:00,2014-03-16 02:16:00,2014-03-16 13:11:00,2014-03-16 15:01:00,110,0.1388322284451659,0.07945047736291488,0.05938175108225102,42.772309965264895,True
Washing_Machine_2014-03-18_01,Washing Machine,Appliance2,2014-03-18 21:36:00,2014-03-18 23:20:00,2014-03-19 12:06:00,2014-03-19 13:50:00,104,0.058035368145743144,0.057239055104617576,0.0007963130411255681,1.3721168083672735,True
Washing_Machine_2014-03-21_01,Washing Machine,Appliance2,2014-03-21 00:38:00,2014-03-21 01:14:00,2014-03-21 13:08:00,2014-03-21 13:44:00,36,0.04013666765873016,0.02146984623015873,0.018666821428571432,46.508149573576254,True
Washing_Machine_2014-03-22_01,Washing Machine,Appliance2,2014-03-22 21:27:00,2014-03-22 23:11:00,2014-03-22 21:27:00,2014-03-22 23:11:00,104,0.05791561210317459,0.05791561210317459,0.0,0.0,False
Washing_Machine_2014-03-26_01,Washing Machine,Appliance2,2014-03-26 00:20:00,2014-03-26 02:04:00,2014-03-26 13:05:00,2014-03-26 14:49:00,104,0.06459225793650797,0.04160857043650795,0.022983687500000016,35.582728076470424,True
Washing_Machine_2014-03-27_01,Washing Machine,Appliance2,2014-03-27 23:33:00,2014-03-28 01:18:00,2014-03-28 12:03:00,2014-03-28 13:48:00,105,0.06901762003968252,0.06169335939754689,0.0073242606421356354,10.61216054382122,True
Washing_Machine_2014-03-29_02,Washing Machine,Appliance2,2014-03-29 23:22:00,2014-03-29 23:48:00,2014-03-30 13:07:00,2014-03-30 13:33:00,26,0.010130910278862603,0.0050654551394313015,0.0050654551394313015,50.0,True
Washing_Machine_2014-03-31_01,Washing Machine,Appliance2,2014-03-31 08:50:00,2014-03-31 10:21:00,2014-03-31 13:05:00,2014-03-31 14:36:00,91,0.06814989034576534,0.03407494517288267,0.03407494517288267,50.0,True
Washing_Machine_2014-04-01_01,Washing Machine,Appliance2,2014-04-01 23:28:00,2014-04-02 01:18:00,2014-04-02 11:58:00,2014-04-02 13:48:00,110,0.018385146825396825,0.01593744246031746,0.0024477043650793645,13.31348826487565,True
Washing_Machine_2014-04-03_01,Washing Machine,Appliance2,2014-04-03 20:45:00,2014-04-03 22:31:00,2014-04-03 20:45:00,2014-04-03 22:31:00,106,0.04081981746031746,0.04081981746031746,0.0,0.0,False
Washing_Machine_2014-04-04_01,Washing Machine,Appliance2,2014-04-04 23:38:00,2014-04-05 01:25:00,2014-04-05 12:08:00,2014-04-05 13:55:00,107,0.06888887094155843,0.061601335227272756,0.007287535714285677,10.578683631595625,True
Washing_Machine_2014-04-08_01,Washing Machine,Appliance2,2014-04-08 00:30:00,2014-04-08 02:13:00,2014-04-08 13:00:00,2014-04-08 14:43:00,103,0.0665916865079365,0.04388561507936509,0.02270607142857141,34.09745663351726,True
Washing_Machine_2014-04-11_01,Washing Machine,Appliance2,2014-04-11 22:30:00,2014-04-11 22:38:00,2014-04-12 13:00:00,2014-04-12 13:08:00,8,0.00493636111111111,0.002468180555555555,0.002468180555555555,50.0,True
Washing_Machine_2014-04-12_04,Washing Machine,Appliance2,2014-04-12 15:50:00,2014-04-12 16:23:00,2014-04-12 20:05:00,2014-04-12 20:38:00,33,0.01015813888888889,0.006048494047619047,0.004109644841269843,40.456671110935766,True
Washing_Machine_2014-04-21_04,Washing Machine,Appliance2,2014-04-21 14:55:00,2014-04-21 16:37:00,2014-04-21 20:10:00,2014-04-21 21:52:00,102,0.05017916765873015,0.03795910714285714,0.012220060515873009,24.352856147359724,True
Washing_Machine_2014-04-23_02,Washing Machine,Appliance2,2014-04-23 08:28:00,2014-04-23 10:11:00,2014-04-23 13:13:00,2014-04-23 14:56:00,103,0.05931641468253968,0.02965820734126984,0.02965820734126984,50.0,True
