label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge),26.5015,24.3915,30.2877,100.9522,100.9522,100.9522
Appliance2 (Freezer),66.0413,60.7111,76.7459,255.8411,255.8411,255.8411
Appliance3 (Dryer),10.5073,15.0386,20.2712,67.5764,67.5764,67.5764
Appliance4 (Washing Machine),57.5137,74.3588,102.9736,343.2465,343.2465,343.2465
Appliance5 (Toaster),5.5228,6.3334,6.6848,22.284,22.284,22.284
Appliance6 (Computer),60.5838,55.1137,69.7157,232.3856,232.3856,232.3856
Appliance7 (Television Site),87.0871,71.3039,90.6658,302.2195,302.2195,302.2195
Appliance8 (Microwave),23.4912,25.4398,26.9466,89.8219,89.8219,89.8219
Appliance9 (Kettle),60.946,59.427,66.9874,223.2929,223.2929,223.2929
Total,398.1947,392.1178,491.27869999999996,1637.6201,1637.6201,1637.6201
