appliance_id,appliance_name,month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
Appliance1,Fridge-Freezer,2014-03,7.1887,8.4797,24.9358,24.9358
Appliance1,Fridge-Freezer,2014-04,8.0763,9.5461,28.0772,28.0772
Appliance1,Fridge-Freezer,2014-05,9.761,11.5138,33.863,33.863
Appliance1,Fridge-Freezer,2014-06,10.4127,12.2766,36.1101,36.1101
Appliance1,Fridge-Freezer,2014-07,12.0723,14.2059,41.7824,41.7824
Appliance1,Fridge-Freezer,2014-08,11.4002,13.4953,39.6896,39.6896
Appliance1,Fridge-Freezer,2014-09,10.072,11.8742,34.9258,34.9258
Appliance1,Fridge-Freezer,2014-10,10.7409,12.6322,37.1545,37.1545
Appliance1,Fridge-Freezer,2014-11,10.749,12.6582,37.236,37.236
Appliance1,Fridge-Freezer,2014-12,9.7956,11.5638,34.0102,34.0102
Appliance1,Fridge-Freezer,2015-01,10.080400000000001,11.9034,35.0167,35.0167
Appliance1,Fridge-Freezer,2015-02,8.905,10.498099999999999,30.8776,30.8776
Appliance1,Fridge-Freezer,2015-03,9.4843,11.2224,33.0064,33.0064
Appliance1,Fridge-Freezer,2015-04,8.878,10.4657,30.7807,30.7807
Appliance1,Fridge-Freezer,2015-05,8.0734,9.544599999999999,28.0731,28.0731
Appliance1,Fridge-Freezer,2015-06,4.3129,5.1095,15.0297,15.0297
Appliance2,Washing Machine,2014-03,0.9768,1.2784,3.7598,3.7598
Appliance2,Washing Machine,2014-04,0.9874,1.1997,3.529,3.529
Appliance2,Washing Machine,2014-05,1.3183,1.5565,4.5783000000000005,4.5783000000000005
Appliance2,Washing Machine,2014-06,1.335,1.6145,4.749,4.749
Appliance2,Washing Machine,2014-07,0.8919,1.0379,3.052,3.052
Appliance2,Washing Machine,2014-08,0.8476,1.0049,2.9555000000000002,2.9555000000000002
Appliance2,Washing Machine,2014-09,1.3277999999999999,1.5476,4.5523,4.5523
Appliance2,Washing Machine,2014-10,1.0461,1.3746,4.0429,4.0429
Appliance2,Washing Machine,2014-11,1.2539,1.5148,4.4552,4.4552
Appliance2,Washing Machine,2014-12,1.0209,1.2591,3.7036,3.7036
Appliance2,Washing Machine,2015-01,1.2084000000000001,1.5915,4.6807,4.6807
Appliance2,Washing Machine,2015-02,0.7642,1.0259,3.0185,3.0185
Appliance2,Washing Machine,2015-03,1.0154,1.3172,3.8741999999999996,3.8741999999999996
Appliance2,Washing Machine,2015-04,1.1365,1.4252,4.1917,4.1917
Appliance2,Washing Machine,2015-05,0.8908,1.1131,3.2739,3.2739
Appliance2,Washing Machine,2015-06,0.2107,0.2956,0.8693,0.8693
Appliance3,Television Site,2014-03,42.9018,50.3423,148.0656,148.0656
Appliance4,Microwave,2014-03,0.4084,0.4293,1.2625,1.2625
