month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-03,54.2806,63.7068,187.3665,187.3665
2014-04,11.828,13.8707,40.7974,40.7974
2014-05,13.5934,15.9062,46.7821,46.7821
2014-06,13.9048,16.3714,48.1538,48.1538
2014-07,14.8879,17.4182,51.2294,51.2294
2014-08,13.780899999999999,16.2061,47.6616,47.6616
2014-09,13.6007,15.9513,46.9136,46.9136
2014-10,16.9781,19.8701,58.4423,58.4423
2014-11,18.1545,21.1587,62.2405,62.2405
2014-12,15.5788,18.1741,53.4532,53.4532
2015-01,17.1018,20.0528,58.9827,58.9827
2015-02,13.8827,16.3,47.9426,47.9426
2015-03,14.0969,16.6562,48.9871,48.9871
2015-04,12.4155,14.6425,43.0635,43.0635
2015-05,10.8302,12.838,37.7604,37.7604
2015-06,5.1581,6.1824,18.1865,18.1865
