event_id,appliance_name,when,season,start_time,end_time,minutes,total_W,total_cost,level_0_minutes,level_0_W,level_0_rate,level_0_cost,level_1_minutes,level_1_W,level_1_rate,level_1_cost,level_2_minutes,level_2_W,level_2_rate,level_2_cost,level_3_minutes,level_3_W,level_3_rate,level_3_cost,level_4_minutes,level_4_W,level_4_rate,level_4_cost,level_5_minutes,level_5_W,level_5_rate,level_5_cost
Fridge_2013-11-01_01,Fridge,original,,2013-11-01 22:20:00,2013-11-01 22:36:00,16,1161.7,0.005421266666666669,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,16,1161.7000000000003,0.28,0.005421266666666669
Fridge_2013-11-01_02,Fridge,original,,2013-11-01 23:31:00,2013-11-01 23:46:00,15,1111.29,0.00518602,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,15,1111.29,0.28,0.00518602
Fridge_2013-11-02_01,Fridge,original,,2013-11-02 00:41:00,2013-11-02 00:55:00,14,1023.94,0.0037544466666666683,14,1023.9400000000004,0.22,0.0037544466666666683,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_02,Fridge,original,,2013-11-02 01:51:00,2013-11-02 02:05:00,14,1004.4,0.0036827999999999995,14,1004.4,0.22,0.0036827999999999995,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_03,Fridge,original,,2013-11-02 03:03:00,2013-11-02 03:17:00,14,991.59,0.0036358300000000014,14,991.5900000000003,0.22,0.0036358300000000014,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_04,Fridge,original,,2013-11-02 04:18:00,2013-11-02 04:32:00,14,1016.67,0.00440557,0,0.0,0.22,0.0,14,1016.6700000000002,0.26,0.00440557,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_05,Fridge,original,,2013-11-02 05:36:00,2013-11-02 05:50:00,14,997.51,0.004322543333333332,0,0.0,0.22,0.0,14,997.5099999999996,0.26,0.004322543333333332,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_06,Fridge,original,,2013-11-02 06:52:00,2013-11-02 07:07:00,15,1043.16,0.00452036,0,0.0,0.22,0.0,15,1043.1599999999999,0.26,0.00452036,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_07,Fridge,original,,2013-11-02 07:23:00,2013-11-02 07:29:00,6,60.71,0.0002630766666666667,0,0.0,0.22,0.0,6,60.71,0.26,0.0002630766666666667,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_08,Fridge,original,,2013-11-02 07:54:00,2013-11-02 08:10:00,16,1129.8,0.0053665499999999994,0,0.0,0.22,0.0,6,423.675,0.26,0.001835925,10,706.1249999999999,0.3,0.003530625,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_09,Fridge,original,,2013-11-02 09:07:00,2013-11-02 09:22:00,15,1107.59,0.005537949999999999,0,0.0,0.22,0.0,0,0.0,0.26,0.0,15,1107.59,0.3,0.005537949999999999,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_10,Fridge,original,,2013-11-02 10:21:00,2013-11-02 10:37:00,16,1044.5,0.005222500000000001,0,0.0,0.22,0.0,0,0.0,0.26,0.0,16,1044.5,0.3,0.005222500000000001,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_11,Fridge,original,,2013-11-02 11:32:00,2013-11-02 11:46:00,14,1064.18,0.005320899999999999,0,0.0,0.22,0.0,0,0.0,0.26,0.0,14,1064.1799999999998,0.3,0.005320899999999999,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Fridge_2013-11-02_12,Fridge,original,,2013-11-02 12:46:00,2013-11-02 13:01:00,15,1049.94,0.00594966,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,15,1049.9399999999998,0.34,0.00594966,0,0.0,0.32,0.0,0,0.0,0.28,0.0
