month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-09,20.5677,26.2056,43.6769,43.6769
2013-10,33.7843,44.7652,74.6102,74.6102
2013-12,0.3773,0.5264,0.8774,0.8774
2014-02,5.668,7.6362000000000005,12.7261,12.7261
2014-03,50.7752,67.5387,112.5644,112.5644
2014-04,41.8626,55.451,92.41720000000001,92.41720000000001
2014-05,46.2971,61.2928,102.1545,102.1545
2014-06,43.9831,56.4214,94.0376,94.0376
2014-07,40.2701,51.6555,86.094,86.094
2014-08,34.7093,45.9945,76.6579,76.6579
2014-09,50.2274,64.9716,108.2838,108.2838
2014-10,50.7001,66.8583,111.4292,111.4292
2014-11,41.5965,55.4903,92.4854,92.4854
2014-12,47.8566,63.4498,105.7504,105.7504
2015-01,64.9918,85.9253,143.2076,143.2076
2015-02,42.924,56.6882,94.479,94.479
2015-03,43.5187,57.1556,95.2606,95.2606
2015-04,46.8788,62.1186,103.5354,103.5354
2015-05,22.4028,29.7086,49.5128,49.5128
