event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,orig_level_2_minutes,orig_level_2_W,orig_level_2_rate,orig_level_2_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost,sched_level_2_minutes,sched_level_2_W,sched_level_2_rate,sched_level_2_cost
Tumble_Dryer_2014-05-08_06,Tumble Dryer,original,summer,2014-05-08 17:01:00,2014-05-08 17:09:00,8,451.2,0.0045119999999999995,0,0.0,0.4,0.0,0,0.0,0.48,0.0,8,451.19999999999993,0.6,0.0045119999999999995,scheduled,summer,2014-05-09 06:00:00,2014-05-09 06:08:00,8,451.2,0.003008,8,451.19999999999993,0.4,0.003008,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-06-03_05,Tumble Dryer,original,summer,2014-06-03 23:33:00,2014-06-03 23:47:00,14,57.6,0.0004608,0,0.0,0.4,0.0,14,57.6,0.48,0.0004608,0,0.0,0.6,0.0,scheduled,summer,2014-06-04 06:00:00,2014-06-04 06:14:00,14,57.6,0.000384,14,57.6,0.4,0.000384,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-06-05_05,Tumble Dryer,original,summer,2014-06-05 14:22:00,2014-06-05 14:27:00,5,57.6,0.00046079999999999987,0,0.0,0.4,0.0,5,57.599999999999994,0.48,0.00046079999999999987,0,0.0,0.6,0.0,scheduled,summer,2014-06-06 06:00:00,2014-06-06 06:05:00,5,57.6,0.00038399999999999996,5,57.599999999999994,0.4,0.00038399999999999996,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-06-05_08,Tumble Dryer,original,summer,2014-06-05 16:40:00,2014-06-05 16:50:00,10,640.0,0.0051199999999999996,0,0.0,0.4,0.0,10,640.0,0.48,0.0051199999999999996,0,0.0,0.6,0.0,scheduled,summer,2014-06-06 06:05:00,2014-06-06 06:15:00,10,640.0,0.004266666666666667,10,640.0,0.4,0.004266666666666667,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-06-23_01,Tumble Dryer,original,summer,2014-06-23 21:53:00,2014-06-23 22:15:00,22,1332.57,0.010660560000000005,0,0.0,0.4,0.0,22,1332.5700000000006,0.48,0.010660560000000005,0,0.0,0.6,0.0,scheduled,summer,2014-06-24 06:00:00,2014-06-24 06:22:00,22,1332.57,0.008883800000000004,22,1332.5700000000006,0.4,0.008883800000000004,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-07-06_01,Tumble Dryer,original,summer,2014-07-06 14:02:00,2014-07-06 14:14:00,12,7209.61,0.057676880000000014,0,0.0,0.4,0.0,12,7209.6100000000015,0.48,0.057676880000000014,0,0.0,0.6,0.0,scheduled,summer,2014-07-07 06:00:00,2014-07-07 06:12:00,12,7209.61,0.04806406666666668,12,7209.6100000000015,0.4,0.04806406666666668,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-07-30_01,Tumble Dryer,original,summer,2014-07-30 15:41:00,2014-07-30 15:56:00,15,10509.25,0.084074,0,0.0,0.4,0.0,15,10509.25,0.48,0.084074,0,0.0,0.6,0.0,scheduled,summer,2014-07-31 06:00:00,2014-07-31 06:15:00,15,10509.25,0.07006166666666667,15,10509.25,0.4,0.07006166666666667,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-08-06_01,Tumble Dryer,original,summer,2014-08-06 16:37:00,2014-08-06 16:43:00,6,7264.79,0.058118319999999994,0,0.0,0.4,0.0,6,7264.79,0.48,0.058118319999999994,0,0.0,0.6,0.0,scheduled,summer,2014-08-07 06:00:00,2014-08-07 06:06:00,6,7264.79,0.04843193333333334,6,7264.79,0.4,0.04843193333333334,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-08-07_01,Tumble Dryer,original,summer,2014-08-07 19:17:00,2014-08-07 19:22:00,5,155.43,0.0015543,0,0.0,0.4,0.0,0,0.0,0.48,0.0,5,155.43,0.6,0.0015543,scheduled,summer,2014-08-08 06:00:00,2014-08-08 06:05:00,5,155.43,0.0010362,5,155.43,0.4,0.0010362,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-08-08_06,Tumble Dryer,original,summer,2014-08-08 17:45:00,2014-08-08 17:50:00,5,106.97,0.0010697,0,0.0,0.4,0.0,0,0.0,0.48,0.0,5,106.97,0.6,0.0010697,scheduled,summer,2014-08-09 06:00:00,2014-08-09 06:05:00,5,106.97,0.0007131333333333334,5,106.97,0.4,0.0007131333333333334,0,0.0,0.48,0.0,0,0.0,0.6,0.0
