label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge),18.1821,16.2323,20.6579,68.8573,68.8573,68.8573
Appliance2 (Fridge-Freezer),46.2597,42.8327,53.7931,179.316,179.316,179.316
Appliance3 (Washing Machine),7.4332,6.182,7.6322,25.4923,25.4923,25.4923
Appliance4 (Dishwasher),4.6195,4.4806,5.0464,16.8217,16.8217,16.8217
Appliance5 (Computer Site),6.6535,6.2075,7.92,26.3991,26.3991,26.3991
Appliance6 (Microwave),2.9101,2.479,3.1421,10.4723,10.4723,10.4723
Appliance7 (Kettle),30.549,29.2108,36.2454,120.8166,120.8166,120.8166
Appliance8 (Router),24.5324,22.7392,28.7498,95.8325,95.8325,95.8325
Appliance9 (Hi-Fi),7.8385,6.9835,8.5446,28.4782,28.4782,28.4782
Total,148.978,137.3476,171.7315,572.486,572.486,572.486
