month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-06,58.0527,77.3426,128.9059,128.9059
2014-07,17.3542,22.9094,38.182900000000004,38.182900000000004
2014-08,15.8404,21.007,35.0116,35.0116
2014-09,11.8605,15.5681,25.9459,25.9459
2014-10,20.1152,27.2082,45.3523,45.3523
2014-11,19.7761,26.6186,44.3638,44.3638
2014-12,15.304499999999999,20.6487,34.4172,34.4172
2015-01,17.9865,24.1247,40.2168,40.2168
2015-02,23.2681,31.2478,52.0864,52.0864
2015-03,15.5861,21.0934,35.1576,35.1576
2015-04,16.0537,21.7822,36.3105,36.3105
2015-05,12.4164,16.8347,28.0575,28.0575
2015-06,12.9761,17.3514,28.919,28.919
