event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_Economy_7,energy_Economy_7,cost_Economy_10,energy_Economy_10,cost_Standard,energy_Standard
Fridge-Freezer_2013-12-17_01,Fridge-Freezer,Appliance1,Base,2013-12-17 18:39:00,2013-12-17 21:32:00,173.0,11582.99,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0579,0.193,0.0431,0.193,0.0579,0.193
Fridge-Freezer_2013-12-18_01,Fridge-Freezer,Appliance1,Base,2013-12-18 00:03:00,2013-12-18 00:30:00,27.0,2008.26,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.01,0.0335,0.01,0.0335,0.01,0.0335
Fridge-Freezer_2013-12-18_02,Fridge-Freezer,Appliance1,Base,2013-12-18 02:17:00,2013-12-18 03:15:00,58.0,3983.71,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.01,0.0664,0.01,0.0664,0.0199,0.0664
Fridge-Freezer_2013-12-18_03,Fridge-Freezer,Appliance1,Base,2013-12-18 05:40:00,2013-12-18 06:18:00,38.0,2815.06,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.007,0.0469,0.0101,0.0469,0.0141,0.0469
Fridge-Freezer_2013-12-18_04,Fridge-Freezer,Appliance1,Base,2013-12-18 08:20:00,2013-12-18 08:58:00,38.0,2835.92,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0142,0.0473,0.0142,0.0473,0.0142,0.0473
Fridge-Freezer_2013-12-18_05,Fridge-Freezer,Appliance1,Base,2013-12-18 10:53:00,2013-12-18 11:30:00,37.0,2756.27,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0138,0.0459,0.0138,0.0459,0.0138,0.0459
Fridge-Freezer_2013-12-18_06,Fridge-Freezer,Appliance1,Base,2013-12-18 13:13:00,2013-12-18 13:40:00,27.0,2107.59,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0105,0.0351,0.0053,0.0351,0.0105,0.0351
Fridge-Freezer_2013-12-18_07,Fridge-Freezer,Appliance1,Base,2013-12-18 15:05:00,2013-12-18 15:36:00,31.0,2335.33,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0117,0.0389,0.0058,0.0389,0.0117,0.0389
Fridge-Freezer_2013-12-18_08,Fridge-Freezer,Appliance1,Base,2013-12-18 16:20:00,2013-12-18 16:52:00,32.0,2294.3,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0115,0.0382,0.0115,0.0382,0.0115,0.0382
Fridge-Freezer_2013-12-18_09,Fridge-Freezer,Appliance1,Base,2013-12-18 18:02:00,2013-12-18 18:57:00,55.0,3958.37,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0198,0.066,0.0198,0.066,0.0198,0.066
Fridge-Freezer_2013-12-18_10,Fridge-Freezer,Appliance1,Base,2013-12-18 20:27:00,2013-12-18 21:05:00,38.0,2788.89,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0139,0.0465,0.007,0.0465,0.0139,0.0465
Fridge-Freezer_2013-12-18_11,Fridge-Freezer,Appliance1,Base,2013-12-18 22:30:00,2013-12-18 23:02:00,32.0,2321.66,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0116,0.0387,0.0116,0.0387,0.0116,0.0387
Fridge-Freezer_2013-12-19_01,Fridge-Freezer,Appliance1,Base,2013-12-19 00:30:00,2013-12-19 01:04:00,34.0,2522.19,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0063,0.042,0.012,0.042,0.0126,0.042
Fridge-Freezer_2013-12-19_02,Fridge-Freezer,Appliance1,Base,2013-12-19 02:40:00,2013-12-19 03:18:00,38.0,2792.69,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.007,0.0465,0.007,0.0465,0.014,0.0465
Fridge-Freezer_2013-12-19_03,Fridge-Freezer,Appliance1,Base,2013-12-19 05:09:00,2013-12-19 05:51:00,42.0,3127.66,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0078,0.0521,0.0078,0.0521,0.0156,0.0521
Fridge-Freezer_2013-12-19_04,Fridge-Freezer,Appliance1,Base,2013-12-19 08:04:00,2013-12-19 09:00:00,56.0,4023.2,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0201,0.0671,0.0201,0.0671,0.0201,0.0671
Fridge-Freezer_2013-12-19_05,Fridge-Freezer,Appliance1,Base,2013-12-19 11:10:00,2013-12-19 12:13:00,63.0,4582.96,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0229,0.0764,0.0229,0.0764,0.0229,0.0764
Fridge-Freezer_2013-12-19_06,Fridge-Freezer,Appliance1,Base,2013-12-19 13:56:00,2013-12-19 14:45:00,49.0,3515.94,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0176,0.0586,0.0088,0.0586,0.0176,0.0586
Fridge-Freezer_2013-12-19_07,Fridge-Freezer,Appliance1,Base,2013-12-19 16:26:00,2013-12-19 17:13:00,47.0,3355.12,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0168,0.0559,0.0168,0.0559,0.0168,0.0559
Fridge-Freezer_2013-12-19_08,Fridge-Freezer,Appliance1,Base,2013-12-19 18:57:00,2013-12-19 23:01:00,244.0,15981.45,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0799,0.2664,0.0606,0.2664,0.0799,0.2664
Fridge-Freezer_2013-12-20_01,Fridge-Freezer,Appliance1,Base,2013-12-20 01:33:00,2013-12-20 02:00:00,27.0,1971.6,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0049,0.0329,0.0049,0.0329,0.0099,0.0329
Fridge-Freezer_2013-12-20_02,Fridge-Freezer,Appliance1,Base,2013-12-20 04:32:00,2013-12-20 04:59:00,27.0,2005.62,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.005,0.0334,0.005,0.0334,0.01,0.0334
Fridge-Freezer_2013-12-20_03,Fridge-Freezer,Appliance1,Base,2013-12-20 07:31:00,2013-12-20 07:58:00,27.0,2034.46,False,Appliance1,Appliance1 (Fridge-Freezer),2013-12,0.0102,0.0339,0.0102,0.0339,0.0102,0.0339
