month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-12,9.5957,8.501900000000001,9.8871,32.9568,32.9568,32.9568
2014-01,22.1655,17.528100000000002,22.6957,75.65259999999999,75.65259999999999,75.65259999999999
2014-02,4.6022,3.5804,4.6947,15.6479,15.6479,15.6479
2014-03,16.3857,14.176499999999999,17.2398,57.4641,57.4641,57.4641
2014-04,19.5698,16.4094,20.7964,69.3258,69.3258,69.3258
2014-05,22.0433,19.273,23.3639,77.8856,77.8856,77.8856
2014-06,15.943999999999999,13.9322,17.2021,57.3386,57.3386,57.3386
2014-07,13.6938,12.084,14.9081,49.696,49.696,49.696
2014-08,16.2381,13.8478,17.5456,58.487899999999996,58.487899999999996,58.487899999999996
2014-09,13.3481,12.2717,14.4621,48.2018,48.2018,48.2018
2014-10,19.5121,17.3303,20.7534,69.1773,69.1773,69.1773
2014-11,12.7854,11.2367,13.7482,45.828,45.828,45.828
2014-12,16.611,14.4006,17.3018,57.6712,57.6712,57.6712
2015-01,12.717,11.4849,14.5041,48.3485,48.3485,48.3485
2015-02,13.4999,12.4184,16.199,53.9945,53.9945,53.9945
2015-03,11.7624,10.5602,13.6878,45.623,45.623,45.623
2015-04,9.346,8.2354,10.5818,35.2741,35.2741,35.2741
2015-05,11.7628,10.3023,13.4253,44.7511,44.7511,44.7511
2015-06,10.2285,8.7341,11.7584,39.1972,39.1972,39.1972
2015-07,4.2899,3.6743,4.517,15.0566,15.0566,15.0566
