month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-06,36.864599999999996,43.826499999999996,128.9059,128.9059
2014-07,10.9851,12.9835,38.182900000000004,38.182900000000004
2014-08,9.9923,11.9042,35.0116,35.0116
2014-09,7.3759,8.8223,25.9459,25.9459
2014-10,12.8028,15.4181,45.3523,45.3523
2014-11,12.7762,15.0828,44.3638,44.3638
2014-12,9.6467,11.7025,34.4172,34.4172
2015-01,11.4953,13.6664,40.2168,40.2168
2015-02,14.927,17.7066,52.0864,52.0864
2015-03,9.7918,11.9519,35.1576,35.1576
2015-04,10.132,12.3427,36.3105,36.3105
2015-05,7.8324,9.5393,28.0575,28.0575
2015-06,8.0688,9.832699999999999,28.919,28.919
