label,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
Appliance1 (Fridge-Freezer),131.2223,155.7797,458.1726,458.1726
Appliance2 (Tumble Dryer),49.5959,54.6305,160.6805,160.6805
Appliance3 (Washing Machine),27.6791,31.9058,93.8438,93.8438
Appliance4 (Dishwasher),98.3703,120.0114,352.9925,352.9925
Appliance5 (Food Mixer),0.178,0.1915,0.5634,0.5634
Appliance6 (Television),20.7574,23.2201,68.2958,68.2958
Appliance7 (Toaster),11.9304,13.7387,40.4063,40.4063
Appliance8 (Vivarium),57.8605,68.8391,202.468,202.468
Appliance9 (Pond Pump),77.9182,92.907,273.2559,273.2559
Total,475.5121,561.2238,1650.6788000000001,1650.6788000000001
