month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-03,21.3081,25.737099999999998,75.7026,75.7026
2014-04,39.5208,46.493700000000004,136.743,136.743
2014-05,20.623,24.5547,72.2207,72.2207
2014-06,22.2898,25.9229,76.2435,76.2435
2014-07,14.4048,17.1016,50.2952,50.2952
2014-08,28.7441,33.9512,99.8577,99.8577
2014-09,29.1456,34.7327,102.1604,102.1604
2014-10,46.5627,54.7107,160.9149,160.9149
2014-11,32.473,37.1844,109.3695,109.3695
2014-12,47.1815,55.4965,163.2261,163.2261
2015-01,24.897100000000002,28.9486,85.1431,85.1431
2015-02,24.1145,27.8588,81.9427,81.9427
2015-03,60.467,71.7783,211.1133,211.1133
2015-04,13.4389,16.4857,48.491,48.491
2015-05,11.9506,14.5907,42.9142,42.9142
2015-06,38.3906,45.6762,134.3409,134.3409
