month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-10,9.9216,11.8103,34.7316,34.7316
2013-11,44.2196,59.5069,175.0137,175.0137
2013-12,56.2761,77.5923,228.2157,228.2157
2014-01,38.5368,53.8069,158.2563,158.2563
2014-03,40.6037,56.6385,166.5824,166.5824
2014-04,24.314799999999998,29.8646,87.8359,87.8359
2014-05,17.9647,21.1142,62.0968,62.0968
2014-06,20.1922,23.3811,68.7735,68.7735
2014-07,23.6676,27.4041,80.6003,80.6003
2014-08,20.5653,23.9131,70.3323,70.3323
2014-09,19.8755,23.2926,68.5079,68.5079
2014-10,17.932,20.9582,61.6359,61.6359
2014-11,20.7213,24.8232,73.0056,73.0056
2014-12,34.6405,43.3805,127.5845,127.5845
2015-01,19.3097,23.0405,67.767,67.767
2015-02,37.0995,45.2334,133.0398,133.0398
2015-03,51.3198,67.6991,199.1135,199.1135
2015-04,28.2854,34.0956,100.2803,100.2803
2015-05,14.2114,16.4488,48.3762,48.3762
2015-06,12.7976,14.9496,43.9614,43.9614
2015-07,6.9877,8.204,24.1256,24.1256
