event_id,appliance_name,when,season,start_time,end_time,minutes,total_W,total_cost,level_0_minutes,level_0_W,level_0_rate,level_0_cost,level_1_minutes,level_1_W,level_1_rate,level_1_cost
Fridge-Freezer_2013-12-17_01,Fridge-Freezer,original,,2013-12-17 17:47:00,2013-12-17 18:02:00,15,1092.17,0.005460850000000001,0,0.0,0.15,0.0,15,1092.17,0.3,0.005460850000000001
Fridge-Freezer_2013-12-17_02,Fridge-Freezer,original,,2013-12-17 18:29:00,2013-12-17 18:46:00,17,1104.51,0.005522550000000001,0,0.0,0.15,0.0,17,1104.5100000000002,0.3,0.005522550000000001
Fridge-Freezer_2013-12-17_03,Fridge-Freezer,original,,2013-12-17 18:47:00,2013-12-17 19:03:00,16,3083.89,0.015419449999999998,0,0.0,0.15,0.0,16,3083.89,0.3,0.015419449999999998
Fridge-Freezer_2013-12-17_04,Fridge-Freezer,original,,2013-12-17 19:10:00,2013-12-17 19:55:00,45,3503.33,0.017516650000000005,0,0.0,0.15,0.0,45,3503.330000000001,0.3,0.017516650000000005
Fridge-Freezer_2013-12-17_05,Fridge-Freezer,original,,2013-12-17 20:19:00,2013-12-17 20:35:00,16,1274.0,0.003185,16,1274.0,0.15,0.003185,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-17_06,Fridge-Freezer,original,,2013-12-17 20:56:00,2013-12-17 21:12:00,16,1170.76,0.0029268999999999996,16,1170.7599999999998,0.15,0.0029268999999999996,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-17_07,Fridge-Freezer,original,,2013-12-17 21:33:00,2013-12-17 21:51:00,18,1250.3,0.00312575,18,1250.3000000000002,0.15,0.00312575,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-17_08,Fridge-Freezer,original,,2013-12-17 22:13:00,2013-12-17 22:31:00,18,1351.08,0.0067553999999999965,0,0.0,0.15,0.0,18,1351.0799999999995,0.3,0.0067553999999999965
Fridge-Freezer_2013-12-17_09,Fridge-Freezer,original,,2013-12-17 22:56:00,2013-12-17 23:12:00,16,1227.81,0.006139049999999999,0,0.0,0.15,0.0,16,1227.81,0.3,0.006139049999999999
Fridge-Freezer_2013-12-17_10,Fridge-Freezer,original,,2013-12-17 23:37:00,2013-12-17 23:53:00,16,1178.62,0.005893099999999997,0,0.0,0.15,0.0,16,1178.6199999999994,0.3,0.005893099999999997
Fridge-Freezer_2013-12-18_01,Fridge-Freezer,original,,2013-12-18 00:17:00,2013-12-18 00:32:00,15,1135.37,0.005676850000000001,0,0.0,0.15,0.0,15,1135.3700000000001,0.3,0.005676850000000001
Fridge-Freezer_2013-12-18_02,Fridge-Freezer,original,,2013-12-18 00:58:00,2013-12-18 01:14:00,16,1123.04,0.003158550000000001,14,982.6600000000003,0.15,0.0024566500000000008,2,140.38,0.3,0.0007019
Fridge-Freezer_2013-12-18_03,Fridge-Freezer,original,,2013-12-18 01:40:00,2013-12-18 01:56:00,16,1135.7,0.0028392500000000006,16,1135.7000000000003,0.15,0.0028392500000000006,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-18_04,Fridge-Freezer,original,,2013-12-18 02:24:00,2013-12-18 02:40:00,16,1108.51,0.002771275,16,1108.51,0.15,0.002771275,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-18_05,Fridge-Freezer,original,,2013-12-18 03:06:00,2013-12-18 03:24:00,18,917.54,0.002293849999999999,18,917.5399999999998,0.15,0.002293849999999999,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-18_06,Fridge-Freezer,original,,2013-12-18 03:49:00,2013-12-18 04:04:00,15,1048.89,0.0026222250000000006,15,1048.8900000000003,0.15,0.0026222250000000006,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-18_07,Fridge-Freezer,original,,2013-12-18 04:32:00,2013-12-18 04:47:00,15,1066.0,0.002664999999999999,15,1065.9999999999995,0.15,0.002664999999999999,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-18_08,Fridge-Freezer,original,,2013-12-18 05:15:00,2013-12-18 05:29:00,14,1014.6,0.0025364999999999997,14,1014.5999999999998,0.15,0.0025364999999999997,0,0.0,0.3,0.0
Fridge-Freezer_2013-12-18_09,Fridge-Freezer,original,,2013-12-18 06:00:00,2013-12-18 06:15:00,15,1077.08,0.005385399999999999,0,0.0,0.15,0.0,15,1077.0800000000002,0.3,0.005385399999999999
