appliance_id,appliance_name,month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
Appliance1,Fridge,2013-11,2.1912,2.5921,7.622,7.622
Appliance1,Fridge,2013-12,1.6007,1.875,5.5134,5.5134
Appliance1,Fridge,2014-01,1.0054,1.1832,3.4791,3.4791
Appliance1,Fridge,2014-03,1.3974,1.6329,4.8002,4.8002
Appliance1,Fridge,2014-04,1.6426,1.9172,5.6394,5.6394
Appliance1,Fridge,2014-05,1.6654,1.9463,5.7246,5.7246
Appliance1,Fridge,2014-06,2.0178,2.3518,6.9164,6.9164
Appliance1,Fridge,2014-07,2.2867,2.6656,7.8401,7.8401
Appliance1,Fridge,2014-08,2.7278,3.205,9.423,9.423
Appliance1,Fridge,2014-09,1.8995,2.2115,6.502,6.502
Appliance1,Fridge,2014-10,1.7026999999999999,1.9927,5.8578,5.8578
Appliance1,Fridge,2014-11,1.7311,2.0195,5.9367,5.9367
Appliance1,Fridge,2014-12,1.6395,1.9127,5.6229,5.6229
Appliance1,Fridge,2015-01,1.5308,1.7856,5.253,5.253
Appliance1,Fridge,2015-02,1.4219,1.6794,4.9361,4.9361
Appliance1,Fridge,2015-03,1.3591,1.5922,4.6832,4.6832
Appliance1,Fridge,2015-04,1.483,1.7426,5.1236,5.1236
Appliance1,Fridge,2015-05,0.5781,0.6747,1.986,1.986
Appliance2,Freezer,2013-11,3.2799,3.8721,11.3889,11.3889
Appliance2,Freezer,2013-12,3.6364,4.2954,12.6334,12.6334
Appliance2,Freezer,2014-01,2.419,2.8792,8.4677,8.4677
Appliance2,Freezer,2014-03,3.4748,4.1034,12.0695,12.0695
Appliance2,Freezer,2014-04,4.5933,5.4595,16.0562,16.0562
Appliance2,Freezer,2014-05,4.7915,5.6759,16.6914,16.6914
Appliance2,Freezer,2014-06,5.1097,6.0239,17.715,17.715
Appliance2,Freezer,2014-07,5.6501,6.6346,19.513,19.513
Appliance2,Freezer,2014-08,5.4667,6.4693,19.026,19.026
Appliance2,Freezer,2014-09,4.896,5.767,16.9631,16.9631
Appliance2,Freezer,2014-10,5.0332,5.9827,17.5905,17.5905
Appliance2,Freezer,2014-11,4.4571,5.2563,15.4597,15.4597
Appliance2,Freezer,2014-12,3.8033,4.5106,13.2661,13.2661
Appliance2,Freezer,2015-01,3.7886,4.4833,13.1874,13.1874
Appliance2,Freezer,2015-02,3.4584,4.0999,12.0554,12.0554
Appliance2,Freezer,2015-03,4.0507,4.7841,14.0704,14.0704
Appliance2,Freezer,2015-04,4.1616,4.8927,14.3921,14.3921
Appliance2,Freezer,2015-05,1.7219,2.0246,5.9543,5.9543
Appliance3,Dryer,2013-11,0.8024,1.0803,3.1781,3.1781
Appliance3,Dryer,2013-12,1.2051,1.6198000000000001,4.7647,4.7647
Appliance3,Dryer,2014-01,0.7417,1.0683,3.1424,3.1424
Appliance3,Dryer,2014-03,0.7428,0.9969,2.9324000000000003,2.9324000000000003
Appliance3,Dryer,2014-04,1.1268,1.566,4.6059,4.6059
Appliance3,Dryer,2014-05,1.1283,1.5028,4.4205,4.4205
Appliance3,Dryer,2014-06,1.1276,1.5386,4.5253,4.5253
Appliance3,Dryer,2014-07,0.46749999999999997,0.6113999999999999,1.798,1.798
Appliance3,Dryer,2014-08,0.7831,1.0244,3.013,3.013
Appliance3,Dryer,2014-09,0.8261000000000001,1.0804,3.1786,3.1786
Appliance3,Dryer,2014-10,0.9776,1.3098,3.8524999999999996,3.8524999999999996
Appliance3,Dryer,2014-11,1.1977,1.7287000000000001,5.085100000000001,5.085100000000001
Appliance3,Dryer,2014-12,1.8928,2.8321,8.3307,8.3307
Appliance3,Dryer,2015-01,0.7811,1.1478,3.3758,3.3758
Appliance3,Dryer,2015-02,1.097,1.6128,4.7433,4.7433
Appliance3,Dryer,2015-03,0.6163,0.896,2.6345,2.6345
Appliance3,Dryer,2015-04,0.7491,1.0402,3.0597,3.0597
Appliance3,Dryer,2015-05,0.2441,0.319,0.9385,0.9385
Appliance4,Washing Machine,2013-11,5.2257,6.952500000000001,20.4474,20.4474
Appliance4,Washing Machine,2013-12,6.3101,8.4001,24.7065,24.7065
Appliance4,Washing Machine,2014-01,3.5139,4.7286,13.9073,13.9073
Appliance4,Washing Machine,2014-03,4.6218,6.3443000000000005,18.6604,18.6604
Appliance4,Washing Machine,2014-04,6.2606,8.5937,25.2761,25.2761
Appliance4,Washing Machine,2014-05,5.2011,7.0709,20.7963,20.7963
Appliance4,Washing Machine,2014-06,5.6462,8.0086,23.5559,23.5559
Appliance4,Washing Machine,2014-07,3.4126,4.7065,13.843499999999999,13.843499999999999
Appliance4,Washing Machine,2014-08,3.8394,5.3787,15.8194,15.8194
Appliance4,Washing Machine,2014-09,4.391900000000001,6.1235,18.01,18.01
Appliance4,Washing Machine,2014-10,3.4888,4.8345,14.2197,14.2197
Appliance4,Washing Machine,2014-11,4.1578,5.9142,17.3954,17.3954
