label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge-Freezer),135.1104,124.6435,157.4367,524.7738,524.7738,524.7738
Appliance2 (Washer Dryer),123.1007,110.9074,124.6322,415.4469,415.4469,415.4469
Appliance3 (Washing Machine),50.7167,46.7223,51.3521,171.1754,171.1754,171.1754
Appliance4 (Dishwasher),154.3376,149.7101,165.2981,550.993,550.993,550.993
Appliance5 (Television Site),86.0658,70.9607,90.8841,302.947,302.947,302.947
Appliance6 (Microwave),4.9815,4.8362,4.991,16.6347,16.6347,16.6347
Appliance7 (Kettle),77.3834,77.2356,89.4461,298.1541,298.1541,298.1541
Appliance8 (Hi-Fi),19.425,17.9775,22.7029,75.6767,75.6767,75.6767
Appliance9 (Electric Heater),27.4704,21.3756,27.5649,91.8835,91.8835,91.8835
Total,678.5915,624.3688999999999,734.3081,2447.6851,2447.6851,2447.6851
