month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-12,27.7239,24.970100000000002,30.1323,100.43950000000001,100.43950000000001,100.43950000000001
2014-01,30.097,28.5319,32.7195,109.0654,109.0654,109.0654
2014-03,32.7459,30.6465,37.8077,126.0275,126.0275,126.0275
2014-04,32.177099999999996,28.7297,34.2017,114.00370000000001,114.00370000000001,114.00370000000001
2014-05,43.7913,41.4539,47.5933,158.6387,158.6387,158.6387
2014-06,36.162,32.2231,39.4637,131.5445,131.5445,131.5445
2014-07,43.5324,39.8408,47.7551,159.1817,159.1817,159.1817
2014-08,26.1813,22.829,28.3386,94.4596,94.4596,94.4596
2014-09,39.9607,36.3669,42.7654,142.5465,142.5465,142.5465
2014-10,43.5325,40.5818,47.6782,158.9225,158.9225,158.9225
2014-11,53.3849,47.708999999999996,56.7635,189.2173,189.2173,189.2173
2014-12,47.9999,44.0742,50.6006,168.6649,168.6649,168.6649
2015-01,37.3401,35.0162,39.5335,131.7798,131.7798,131.7798
2015-02,56.674499999999995,50.6609,61.3002,204.3367,204.3367,204.3367
2015-03,35.507,34.2839,38.5319,128.438,128.438,128.438
2015-04,26.8265,25.6109,28.8113,96.0425,96.0425,96.0425
2015-05,29.3685,27.21,31.383,104.611,104.611,104.611
2015-06,26.277,24.8826,28.7928,95.9797,95.9797,95.9797
2015-07,9.309,8.7475,10.1358,33.7856,33.7856,33.7856
