label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge-Freezer (1)),122.5156,112.2838,141.1289,470.4298,470.4298,470.4298
Appliance2 (Fridge-Freezer (2)),53.0102,49.0407,61.9086,206.3619,206.3619,206.3619
Appliance3 (Electric Heater),0.7653,0.6561,0.7718,2.5731,2.5731,2.5731
Appliance4 (Electric Heater (2)),6.0238,4.9738,6.277,20.965,20.965,20.965
Appliance5 (Washing Machine),57.352,57.3541,62.0056,206.6891,206.6891,206.6891
Appliance6 (Dishwasher),82.5983,71.7108,85.2752,284.2526,284.2526,284.2526
Appliance7 (Computer Site),52.9805,48.9626,60.8946,202.9838,202.9838,202.9838
Appliance8 (Television Site),149.5003,124.2071,155.6678,518.8972,518.8972,518.8972
Appliance9 (Electric Heater(3)),67.9812,66.7587,89.0717,296.9067,296.9067,296.9067
Total,592.7272,535.9476999999999,663.0011999999999,2210.0591999999997,2210.0591999999997,2210.0591999999997
