appliance_id,appliance_name,month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1,Fridge-Freezer (1),2014-01,3.8799,3.5481,4.4468,14.8256,14.8256,14.8256
Appliance1,Fridge-Freezer (1),2014-02,1.4009,1.2565,1.5688,5.2284,5.2284,5.2284
Appliance1,Fridge-Freezer (1),2014-03,7.9565,7.2797,9.2504,30.8347,30.8347,30.8347
Appliance1,Fridge-Freezer (1),2014-04,8.2446,7.6021,9.5077,31.6932,31.6932,31.6932
Appliance1,Fridge-Freezer (1),2014-05,9.9118,9.0236,11.4128,38.039,38.039,38.039
Appliance1,Fridge-Freezer (1),2014-06,9.8315,8.9166,11.1984,37.3283,37.3283,37.3283
Appliance1,Fridge-Freezer (1),2014-07,4.2368,3.8732,4.8579,16.1935,16.1935,16.1935
Appliance1,Fridge-Freezer (1),2014-08,7.1838,6.5939,8.2309,27.437,27.437,27.437
Appliance1,Fridge-Freezer (1),2014-09,10.039,9.1298,11.3488,37.8305,37.8305,37.8305
Appliance1,Fridge-Freezer (1),2014-10,8.9264,8.0866,10.2305,34.102,34.102,34.102
Appliance1,Fridge-Freezer (1),2014-11,4.908,4.5244,5.6668,18.891099999999998,18.891099999999998,18.891099999999998
Appliance1,Fridge-Freezer (1),2014-12,8.1762,7.5019,9.4481,31.4888,31.4888,31.4888
Appliance1,Fridge-Freezer (1),2015-01,8.6093,7.9667,9.9847,33.2804,33.2804,33.2804
Appliance1,Fridge-Freezer (1),2015-02,7.1427,6.6093,8.3031,27.6737,27.6737,27.6737
Appliance1,Fridge-Freezer (1),2015-03,7.4341,6.8931,8.631,28.7735,28.7735,28.7735
Appliance1,Fridge-Freezer (1),2015-04,5.0044,4.5912,5.7979,19.3289,19.3289,19.3289
Appliance1,Fridge-Freezer (1),2015-05,3.8564,3.5406,4.4993,14.9991,14.9991,14.9991
Appliance1,Fridge-Freezer (1),2015-06,4.2121,3.8956,4.9009,16.3344,16.3344,16.3344
Appliance1,Fridge-Freezer (1),2015-07,1.5612,1.4509,1.8441,6.1477,6.1477,6.1477
Appliance2,Fridge-Freezer (2),2014-01,1.839,1.698,2.1576,7.1916,7.1916,7.1916
Appliance2,Fridge-Freezer (2),2014-02,0.6642,0.5942999999999999,0.7474,2.4865,2.4865,2.4865
Appliance2,Fridge-Freezer (2),2014-03,3.8274,3.5186,4.5021,15.0075,15.0075,15.0075
Appliance2,Fridge-Freezer (2),2014-04,4.291,3.9851,4.961,16.538,16.538,16.538
Appliance2,Fridge-Freezer (2),2014-05,4.8254,4.465,5.6133,18.709,18.709,18.709
Appliance2,Fridge-Freezer (2),2014-06,5.1373,4.6998,6.0044,20.0186,20.0186,20.0186
Appliance2,Fridge-Freezer (2),2014-07,2.4156,2.2545,2.8368,9.4572,9.4572,9.4572
Appliance2,Fridge-Freezer (2),2014-08,3.8371,3.5836,4.4538,14.8457,14.8457,14.8457
Appliance2,Fridge-Freezer (2),2014-09,5.356,4.8961,6.199,20.6611,20.6611,20.6611
Appliance2,Fridge-Freezer (2),2014-10,4.3445,4.1124,5.2062,17.3496,17.3496,17.3496
Appliance2,Fridge-Freezer (2),2014-11,1.9479,1.7636,2.2019,7.3377,7.3377,7.3377
Appliance2,Fridge-Freezer (2),2014-12,3.8662,3.5705,4.5345,15.1152,15.1152,15.1152
