month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-09,13.3219,12.7647,15.152,50.503,50.503,50.503
2013-10,19.0396,17.7691,20.9716,69.9065,69.9065,69.9065
2013-11,53.0608,47.3005,55.7016,185.6763,185.6763,185.6763
2013-12,59.1508,52.8547,62.465,208.2175,208.2175,208.2175
2014-01,31.0593,28.1814,33.2279,110.75919999999999,110.75919999999999,110.75919999999999
2014-03,25.4361,23.0537,27.3759,91.2572,91.2572,91.2572
2014-04,35.8129,32.686,39.1082,130.3602,130.3602,130.3602
2014-05,32.1253,28.9165,35.8448,119.4877,119.4877,119.4877
2014-06,52.188,46.8759,56.5441,188.4821,188.4821,188.4821
2014-07,44.2425,40.6172,48.4312,161.4404,161.4404,161.4404
2014-08,61.6002,55.0742,66.6039,222.008,222.008,222.008
2014-09,53.8157,48.7922,58.5375,195.1356,195.1356,195.1356
2014-10,58.538199999999996,52.3139,62.2962,207.6532,207.6532,207.6532
2014-11,54.7845,46.6612,57.2263,190.7548,190.7548,190.7548
2014-12,79.6041,68.5351,82.3435,274.483,274.483,274.483
2015-01,52.8535,45.2671,54.9754,183.2557,183.2557,183.2557
2015-02,58.0742,49.9566,59.7703,199.24099999999999,199.24099999999999,199.24099999999999
2015-03,57.9882,48.9815,60.6658,202.2164,202.2164,202.2164
2015-04,51.7859,44.022,54.4212,181.4015,181.4015,181.4015
2015-05,40.5126,35.0615,42.729,142.4298,142.4298,142.4298
2015-06,2.8226,2.5936999999999997,2.9878,9.9598,9.9598,9.9598
