month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-09,22.837699999999998,30.3109,50.518,50.518
2013-10,31.2422,42.0574,70.0995,70.0995
2013-11,82.8379,111.5675,185.955,185.955
2013-12,92.8231,125.0287,208.3794,208.3794
2014-01,49.5689,66.5487,110.9158,110.9158
2014-03,41.4725,54.9054,91.5059,91.5059
2014-04,58.5037,78.4077,130.6826,130.6826
2014-05,53.1354,71.7795,119.6304,119.6304
2014-06,84.5094,113.1432,188.5767,188.5767
2014-07,73.1851,96.9183,161.5323,161.5323
2014-08,102.3547,133.3061,222.1792,222.1792
2014-09,89.5439,117.1227,195.2052,195.2052
2014-10,92.4752,124.6018,207.6728,207.6728
2014-11,85.0328,114.5607,190.9331,190.9331
2014-12,123.2779,165.8171,276.363,276.363
2015-01,82.5408,110.3198,183.8659,183.8659
2015-02,89.8929,119.7569,199.5947,199.5947
2015-03,90.1755,121.3507,202.2549,202.2549
2015-04,81.6976,108.9048,181.5102,181.5102
2015-05,63.9588,85.5109,142.5221,142.5221
2015-06,4.5465,5.9758000000000004,9.9599,9.9599
