appliance_id,appliance_name,month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1,Toaster,2013-09,0.0406,0.06080000000000001,0.1014,0.1014
Appliance1,Toaster,2013-10,0.1367,0.19090000000000001,0.318,0.318
Appliance1,Toaster,2013-11,0.6484,0.8667,1.4445,1.4445
Appliance1,Toaster,2013-12,0.7823,1.082,1.8036,1.8036
Appliance1,Toaster,2014-01,0.3799,0.514,0.8562,0.8562
Appliance1,Toaster,2014-03,0.0623,0.08689999999999999,0.14479999999999998,0.14479999999999998
Appliance1,Toaster,2014-04,0.1706,0.2346,0.3913,0.3913
Appliance1,Toaster,2014-05,0.14229999999999998,0.1982,0.3304,0.3304
Appliance1,Toaster,2014-06,0.3416,0.5023,0.8375,0.8375
Appliance1,Toaster,2014-07,0.2349,0.3266,0.5444,0.5444
Appliance1,Toaster,2014-08,0.6315,0.8879,1.4802,1.4802
Appliance1,Toaster,2014-09,0.3198,0.43629999999999997,0.7274,0.7274
Appliance1,Toaster,2014-10,0.457,0.6182,1.0304,1.0304
Appliance1,Toaster,2014-11,0.2841,0.3896,0.6494,0.6494
Appliance1,Toaster,2014-12,0.8727,1.1971,1.9945,1.9945
Appliance1,Toaster,2015-01,0.4294,0.5856,0.9759,0.9759
Appliance1,Toaster,2015-02,0.8171,1.084,1.8065,1.8065
Appliance1,Toaster,2015-03,0.6827,0.9349999999999999,1.5584,1.5584
Appliance1,Toaster,2015-04,0.361,0.4845,0.8082,0.8082
Appliance1,Toaster,2015-05,0.4082,0.5509,0.9183,0.9183
Appliance1,Toaster,2015-06,0.033299999999999996,0.05,0.0833,0.0833
Appliance2,Fridge-Freezer,2013-09,2.1961,2.8952,4.8255,4.8255
Appliance2,Fridge-Freezer,2013-10,8.0573,10.8635,18.1065,18.1065
Appliance2,Fridge-Freezer,2013-11,12.8572,17.3296,28.884800000000002,28.884800000000002
Appliance2,Fridge-Freezer,2013-12,13.5565,18.2882,30.4809,30.4809
Appliance2,Fridge-Freezer,2014-01,9.2528,12.4535,20.7544,20.7544
Appliance2,Fridge-Freezer,2014-03,10.8592,14.6094,24.3479,24.3479
Appliance2,Fridge-Freezer,2014-04,13.9963,18.9093,31.5153,31.5153
Appliance2,Fridge-Freezer,2014-05,13.9741,18.8962,31.4938,31.4938
Appliance2,Fridge-Freezer,2014-06,17.6497,23.3008,38.8359,38.8359
Appliance2,Fridge-Freezer,2014-07,21.2809,28.1423,46.9042,46.9042
Appliance2,Fridge-Freezer,2014-08,24.6973,32.6494,54.4162,54.4162
