label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge),32.2795,29.8034,37.4677,124.8851,124.8851,124.8851
Appliance2 (Freezer),204.8726,189.7261,239.3796,797.9322,797.9322,797.9322
Appliance3 (Fridge-Freezer),121.2913,112.2899,141.8667,472.872,472.872,472.872
Appliance4 (Washing Machine (1)),15.5043,14.8228,15.8293,52.764,52.764,52.764
Appliance5 (Washing Machine (2)),36.4013,39.1853,39.6065,132.0254,132.0254,132.0254
Appliance6 (Computer Site),48.5935,43.5724,53.1216,177.1129,177.1129,177.1129
Appliance7 (Television Site),84.3278,74.7222,89.4266,298.0928,298.0928,298.0928
Appliance8 (Microwave),28.8834,26.0039,29.3198,97.7469,97.7469,97.7469
Appliance9 (Kettle),38.0414,36.2859,40.3733,134.5792,134.5792,134.5792
Total,610.1951,566.4119,686.3911,2288.0105,2288.0105,2288.0105
