appliance_id,appliance_name,month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
Appliance2,Freezer,2013-11,3.1468,3.6929,10.8585,10.8585
Appliance2,Freezer,2013-12,9.3055,10.9894,32.3223,32.3223
Appliance2,Freezer,2014-01,7.2184,8.5334,25.101,25.101
Appliance2,Freezer,2014-02,1.3911,1.6212,4.7698,4.7698
Appliance2,Freezer,2014-03,0.1117,0.128,0.3765,0.3765
Appliance2,Freezer,2014-04,9.2833,10.9945,32.3372,32.3372
Appliance2,Freezer,2014-05,10.0608,11.8729,34.92,34.92
Appliance2,Freezer,2014-06,10.2341,12.1154,35.6328,35.6328
Appliance2,Freezer,2014-11,0.1226,0.1402,0.4125,0.4125
Appliance2,Freezer,2014-12,0.1313,0.157,0.4615,0.4615
Appliance2,Freezer,2015-01,0.4818,0.5555,1.634,1.634
Appliance2,Freezer,2015-02,0.813,0.97,2.8529,2.8529
Appliance2,Freezer,2015-03,0.6199,0.7724,2.2719,2.2719
Appliance2,Freezer,2015-04,0.3079,0.3645,1.072,1.072
Appliance2,Freezer,2015-05,0.0403,0.0527,0.15510000000000002,0.15510000000000002
Appliance2,Freezer,2015-06,0.0357,0.0405,0.1193,0.1193
Appliance3,Chest Freezer (In Garage),2013-11,1.9474,2.2848,6.7206,6.7206
Appliance3,Chest Freezer (In Garage),2013-12,6.7546,7.9885,23.4968,23.4968
Appliance3,Chest Freezer (In Garage),2014-01,5.2542,6.2255,18.3094,18.3094
Appliance3,Chest Freezer (In Garage),2014-02,0.996,1.1542000000000001,3.3971,3.3971
Appliance3,Chest Freezer (In Garage),2014-03,0.0844,0.09809999999999999,0.2883,0.2883
Appliance3,Chest Freezer (In Garage),2014-04,7.5901,8.9354,26.2822,26.2822
Appliance3,Chest Freezer (In Garage),2014-05,9.3981,11.0551,32.517,32.517
Appliance3,Chest Freezer (In Garage),2014-06,34.9609,41.4501,121.9137,121.9137
Appliance3,Chest Freezer (In Garage),2014-08,10.2934,12.1674,35.786500000000004,35.786500000000004
Appliance3,Chest Freezer (In Garage),2014-09,10.2913,12.1807,35.8263,35.8263
Appliance3,Chest Freezer (In Garage),2014-10,11.2646,13.2864,39.0799,39.0799
Appliance3,Chest Freezer (In Garage),2014-11,8.6186,10.1827,29.9461,29.9461
Appliance3,Chest Freezer (In Garage),2014-12,8.0416,9.5227,28.006,28.006
Appliance3,Chest Freezer (In Garage),2015-01,7.5765,8.9716,26.39,26.39
Appliance3,Chest Freezer (In Garage),2015-02,6.9109,8.1781,24.0541,24.0541
Appliance3,Chest Freezer (In Garage),2015-03,8.183300000000001,9.6701,28.4424,28.4424
Appliance3,Chest Freezer (In Garage),2015-04,8.9586,10.5041,30.8936,30.8936
Appliance3,Chest Freezer (In Garage),2015-05,7.2306,8.4829,24.950499999999998,24.950499999999998
Appliance3,Chest Freezer (In Garage),2015-06,2.9475,3.4953,10.2805,10.2805
Appliance4,Fridge-Freezer,2013-11,1.4478,1.7077,5.0216,5.0216
Appliance4,Fridge-Freezer,2013-12,4.609,5.4407,16.0014,16.0014
Appliance4,Fridge-Freezer,2014-01,3.5007,4.0995,12.0553,12.0553
Appliance4,Fridge-Freezer,2014-02,0.7093,0.8157,2.3981,2.3981
Appliance4,Fridge-Freezer,2014-03,0.0692,0.0818,0.241,0.241
Appliance4,Fridge-Freezer,2014-04,4.7583,5.6044,16.4828,16.4828
Appliance4,Fridge-Freezer,2014-05,5.1082,6.0357,17.754,17.754
Appliance4,Fridge-Freezer,2014-06,5.4466,6.4267,18.9036,18.9036
Appliance4,Fridge-Freezer,2014-07,6.1808,7.2505,21.3255,21.3255
Appliance4,Fridge-Freezer,2014-08,5.9446,7.0962,20.8688,20.8688
Appliance4,Fridge-Freezer,2014-09,5.2614,6.2103,18.2646,18.2646
Appliance4,Fridge-Freezer,2014-10,4.922,5.7879,17.025,17.025
Appliance4,Fridge-Freezer,2014-11,4.3026,5.045,14.8377,14.8377
Appliance4,Fridge-Freezer,2014-12,4.4434,5.2151,15.3425,15.3425
Appliance4,Fridge-Freezer,2015-01,4.3463,5.109,15.0277,15.0277
Appliance4,Fridge-Freezer,2015-02,5.0985,5.994,17.6295,17.6295
Appliance4,Fridge-Freezer,2015-03,6.3272,7.4873,22.0245,22.0245
Appliance4,Fridge-Freezer,2015-04,6.1733,7.2437,21.301,21.301
Appliance4,Fridge-Freezer,2015-05,4.2696,5.0061,14.7239,14.7239
Appliance4,Fridge-Freezer,2015-06,1.1912,1.4183,4.1717,4.1717
Appliance5,Washing Machine,2013-11,3.7375,4.085,12.0148,12.0148
Appliance5,Washing Machine,2013-12,9.1142,10.2363,30.1077,30.1077
Appliance5,Washing Machine,2014-01,7.8544,8.7077,25.6102,25.6102
Appliance5,Washing Machine,2014-02,1.137,1.2779,3.7585,3.7585
Appliance5,Washing Machine,2014-03,0.235,0.2497,0.7345,0.7345
Appliance5,Washing Machine,2014-04,11.0798,12.1568,35.7556,35.7556
Appliance5,Washing Machine,2014-05,7.9168,8.7311,25.6794,25.6794
Appliance5,Washing Machine,2014-06,7.8279,8.6066,25.3142,25.3142
Appliance5,Washing Machine,2014-07,7.1091,7.8614,23.1212,23.1212
Appliance5,Washing Machine,2014-08,6.0006,6.6108,19.4436,19.4436
Appliance5,Washing Machine,2014-09,7.7592,8.4575,24.8749,24.8749
Appliance5,Washing Machine,2014-10,7.4346,8.3639,24.5996,24.5996
Appliance5,Washing Machine,2014-11,7.0578,7.7624,22.8305,22.8305
Appliance5,Washing Machine,2014-12,8.4945,9.3492,27.4979,27.4979
Appliance5,Washing Machine,2015-01,7.5561,8.1207,23.8849,23.8849
Appliance5,Washing Machine,2015-02,0.8886,1.0011999999999999,2.9447,2.9447
Appliance5,Washing Machine,2015-03,8.7506,9.5393,28.057299999999998,28.057299999999998
Appliance5,Washing Machine,2015-04,7.1391,7.864,23.1285,23.1285
Appliance5,Washing Machine,2015-05,5.0809,5.5876,16.4336,16.4336
Appliance5,Washing Machine,2015-06,0.7977,0.8967,2.638,2.638
Appliance6,Dishwasher,2013-11,3.392,3.9329,11.5666,11.5666
Appliance6,Dishwasher,2013-12,11.2065,12.4336,36.5681,36.5681
Appliance6,Dishwasher,2014-01,8.1795,9.0683,26.671499999999998,26.671499999999998
Appliance6,Dishwasher,2014-02,364.6537,432.3801,1271.7069000000001,1271.7069000000001
Appliance6,Dishwasher,2014-03,0.3089,0.32820000000000005,0.9652000000000001,0.9652000000000001
Appliance6,Dishwasher,2014-04,8.9156,9.6743,28.4543,28.4543
Appliance6,Dishwasher,2014-05,9.9777,10.946200000000001,32.1933,32.1933
Appliance6,Dishwasher,2014-06,9.918000000000001,11.111,32.6784,32.6784
Appliance6,Dishwasher,2014-07,8.155899999999999,8.8496,26.0291,26.0291
Appliance6,Dishwasher,2014-08,8.0137,8.6614,25.4752,25.4752
Appliance6,Dishwasher,2014-09,8.7226,9.4743,27.8661,27.8661
Appliance6,Dishwasher,2014-10,7.9472,8.6872,25.5519,25.5519
Appliance6,Dishwasher,2014-11,8.8299,9.5801,28.1788,28.1788
Appliance6,Dishwasher,2014-12,10.1604,11.2868,33.1983,33.1983
Appliance6,Dishwasher,2015-01,8.4345,9.2089,27.0854,27.0854
Appliance6,Dishwasher,2015-02,1.2943,1.697,4.991099999999999,4.991099999999999
Appliance6,Dishwasher,2015-03,6.3861,8.279,24.3511,24.3511
