month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-11,70.5357,82.09150000000001,241.446,241.446
2013-12,48.8894,55.9519,164.5702,164.5702
2014-01,36.4075,41.6241,122.4229,122.4229
2014-02,385.5704,456.95480000000003,1343.9881,1343.9881
2014-03,0.8091999999999999,0.8858,2.6055,2.6055
2014-04,48.9573,55.901,164.4169,164.4169
2014-05,110.9874,128.5642,378.1322,378.1322
2014-06,71.9775,83.8907,246.7396,246.7396
2014-07,21.8658,24.4236,71.8343,71.8343
2014-08,30.712600000000002,35.0753,103.1611,103.1611
2014-09,42.9494,48.059,141.3497,141.3497
2014-10,44.2045,50.8829,149.6623,149.6623
2014-11,64.3182,74.0126,217.682,217.682
2014-12,32.2098,36.549,107.5026,107.5026
2015-01,29.4357,33.0968,97.3482,97.3482
2015-02,56.114399999999996,65.9593,193.9992,193.9992
2015-03,30.7788,36.3083,106.7951,106.7951
2015-04,27.9137,32.9369,96.8686,96.8686
2015-05,19.9898,23.4909,69.0922,69.0922
2015-06,5.4815,6.3646,18.721,18.721
