appliance_name,tariff,price_level,start_minute,end_minute,start_time_48h,end_time_48h,duration_minutes,interval_type
Chest Freezer,Economy_10,-1,0,390,00:00,06:30,390,FORBIDDEN
Chest Freezer,Economy_10,1,390,780,06:30,13:00,390,AVAILABLE
Chest Freezer,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Chest Freezer,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Chest Freezer,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Chest Freezer,Economy_10,1,1320,1380,22:00,23:00,60,AVAILABLE
Chest Freezer,Economy_10,-1,1380,1440,23:00,24:00,60,FORBIDDEN
Computer Site,Economy_10,-1,0,390,00:00,06:30,390,FORBIDDEN
Computer Site,Economy_10,1,390,780,06:30,13:00,390,AVAILABLE
Computer Site,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Computer Site,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Computer Site,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Computer Site,Economy_10,1,1320,1380,22:00,23:00,60,AVAILABLE
Computer Site,Economy_10,-1,1380,1440,23:00,24:00,60,FORBIDDEN
Dishwasher,Economy_10,-1,0,360,00:00,06:00,360,FORBIDDEN
Dishwasher,Economy_10,1,360,780,06:00,13:00,420,AVAILABLE
Dishwasher,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Dishwasher,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Dishwasher,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Dishwasher,Economy_10,1,1320,1410,22:00,23:30,90,AVAILABLE
Dishwasher,Economy_10,-1,1410,1800,23:30,30:00,390,FORBIDDEN
Dishwasher,Economy_10,-1,1440,1800,24:00,30:00,360,FORBIDDEN
Dishwasher,Economy_10,1,1800,2220,30:00,37:00,420,AVAILABLE
Dishwasher,Economy_10,0,2220,2280,37:00,38:00,60,AVAILABLE
Dishwasher,Economy_10,-1,2850,3240,47:30,54:00,390,FORBIDDEN
Electric Heater,Economy_10,-1,0,390,00:00,06:30,390,FORBIDDEN
Electric Heater,Economy_10,1,390,780,06:30,13:00,390,AVAILABLE
Electric Heater,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Electric Heater,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Electric Heater,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Electric Heater,Economy_10,1,1320,1380,22:00,23:00,60,AVAILABLE
Electric Heater,Economy_10,-1,1380,1440,23:00,24:00,60,FORBIDDEN
Fridge,Economy_10,-1,0,390,00:00,06:30,390,FORBIDDEN
Fridge,Economy_10,1,390,780,06:30,13:00,390,AVAILABLE
Fridge,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Fridge,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Fridge,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Fridge,Economy_10,1,1320,1380,22:00,23:00,60,AVAILABLE
Fridge,Economy_10,-1,1380,1440,23:00,24:00,60,FORBIDDEN
Television Site,Economy_10,-1,0,390,00:00,06:30,390,FORBIDDEN
Television Site,Economy_10,1,390,780,06:30,13:00,390,AVAILABLE
Television Site,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Television Site,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Television Site,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Television Site,Economy_10,1,1320,1380,22:00,23:00,60,AVAILABLE
Television Site,Economy_10,-1,1380,1440,23:00,24:00,60,FORBIDDEN
Tumble Dryer,Economy_10,-1,0,360,00:00,06:00,360,FORBIDDEN
Tumble Dryer,Economy_10,1,360,780,06:00,13:00,420,AVAILABLE
Tumble Dryer,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Tumble Dryer,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Tumble Dryer,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Tumble Dryer,Economy_10,1,1320,1410,22:00,23:30,90,AVAILABLE
