month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-03,14.4679,16.7024,49.1428,49.1428
2014-04,31.5975,36.837,108.39789999999999,108.39789999999999
2014-05,40.3613,46.5176,136.8397,136.8397
2014-06,35.9019,41.3095,121.5386,121.5386
2014-07,35.1974,40.8392,120.1437,120.1437
2014-08,33.9451,39.2955,115.6079,115.6079
2014-09,35.3007,40.5124,119.1837,119.1837
2014-10,49.9982,57.7633,169.9468,169.9468
2014-11,30.8505,35.6957,105.0427,105.0427
2014-12,31.4628,36.3563,106.9919,106.9919
2015-01,37.1602,42.4765,124.9863,124.9863
2015-02,41.9437,48.9383,143.9831,143.9831
2015-03,18.662,21.3473,62.8223,62.8223
2015-04,34.5129,39.6342,116.626,116.626
2015-05,24.2681,27.9593,82.2828,82.2828
2015-06,18.8165,21.576,63.4965,63.4965
