month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-03,84.191,112.4207,187.3665,187.3665
2014-04,18.2681,24.4772,40.7974,40.7974
2014-05,20.7888,28.0701,46.7821,46.7821
2014-06,22.006,28.8934,48.1538,48.1538
2014-07,23.4191,30.7384,51.2294,51.2294
2014-08,21.558,28.5962,47.6616,47.6616
2014-09,21.5106,28.1481,46.9136,46.9136
2014-10,26.1174,35.0639,58.4423,58.4423
2014-11,27.8212,37.3449,62.2405,62.2405
2014-12,23.8488,32.0731,53.4532,53.4532
2015-01,26.3526,35.389,58.9827,58.9827
2015-02,21.4248,28.7664,47.9426,47.9426
2015-03,21.834,29.3915,48.9871,48.9871
2015-04,19.2162,25.8377,43.0635,43.0635
2015-05,16.7563,22.6579,37.7604,37.7604
2015-06,8.1551,10.9115,18.1865,18.1865
