label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Fridge-Freezer),232.226,312.3446,520.5688,520.5688
Appliance2 (Washing Machine),26.2212,35.57,59.2859,59.2859
Appliance3 (Television Site),66.5897,88.8394,148.0656,148.0656
Appliance4 (Microwave),12.3827,15.7532,26.2543,26.2543
Appliance5 (Kettle),24.6957,30.8564,51.4285,51.4285
Appliance6 (Toaster),6.2259,8.5362,14.2262,14.2262
Appliance7 (Bread-maker),19.6448,27.6212,46.0342,46.0342
Appliance8 (Lamp),14.2284,17.8761,29.7946,29.7946
Appliance9 (Hi-Fi),1.0536,1.3829,2.3051,2.3051
Total,403.26800000000003,538.78,897.9631999999999,897.9631999999999
