month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-11,90.6949,103.85549999999998,305.4581,305.4581
2013-12,14.1325,15.7045,46.187599999999996,46.187599999999996
2014-01,12.2444,13.5103,39.7364,39.7364
2014-03,13.7647,15.3513,45.1512,45.1512
2014-04,16.4574,18.1838,53.4775,53.4775
2014-05,15.8022,17.8169,52.4057,52.4057
2014-06,15.5124,17.5311,51.5631,51.5631
2014-07,16.2229,18.2875,53.7933,53.7933
2014-08,16.9854,19.1031,56.1836,56.1836
2014-09,15.0048,16.8902,49.681,49.681
2014-10,33.8135,38.2504,112.50710000000001,112.50710000000001
2014-11,21.2025,23.6464,69.54400000000001,69.54400000000001
2014-12,41.5122,47.5504,139.853,139.853
2015-01,26.6772,29.675800000000002,87.2822,87.2822
2015-02,14.4917,15.8128,46.5134,46.5134
2015-03,12.6869,14.1565,41.6355,41.6355
2015-04,18.0607,20.3096,59.7361,59.7361
2015-05,14.3458,16.2725,47.863,47.863
2015-06,10.6762,12.3044,36.187,36.187
