month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-01,7.3976,8.035499999999999,23.6335,23.6335
2014-03,74.1354,83.88980000000001,246.7353,246.7353
2014-04,40.8386,45.8471,134.8511,134.8511
2014-05,44.5876,49.6487,146.0279,146.0279
2014-06,40.2405,44.7441,131.6008,131.6008
2014-07,31.5696,35.429,104.2058,104.2058
2014-08,45.0068,50.471199999999996,148.4461,148.4461
2014-09,27.5721,31.1483,91.6117,91.6117
2014-10,22.5668,25.3021,74.419,74.419
2014-11,39.9223,45.71,134.4448,134.4448
2014-12,32.2711,35.4383,104.237,104.237
2015-01,80.2127,92.4418,271.88989999999995,271.88989999999995
2015-02,39.1261,43.0748,126.6965,126.6965
2015-03,82.1396,93.87610000000001,276.1068,276.1068
2015-04,40.2988,44.4051,130.6042,130.6042
2015-05,24.5944,27.0035,79.4261,79.4261
