event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,orig_level_2_minutes,orig_level_2_W,orig_level_2_rate,orig_level_2_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost,sched_level_2_minutes,sched_level_2_W,sched_level_2_rate,sched_level_2_cost
Tumble_Dryer_2014-05-01_05,Tumble Dryer,original,summer,2014-05-01 20:35:00,2014-05-01 20:53:00,18,8963.22,0.07170576000000001,0,0.0,0.4,0.0,18,8963.220000000001,0.48,0.07170576000000001,0,0.0,0.6,0.0,scheduled,summer,2014-05-02 06:00:00,2014-05-02 06:18:00,18,8963.22,0.05975480000000001,18,8963.220000000001,0.4,0.05975480000000001,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-02_03,Tumble Dryer,original,summer,2014-05-02 20:53:00,2014-05-02 21:17:00,24,44325.99,0.35460791999999997,0,0.0,0.4,0.0,24,44325.99,0.48,0.35460791999999997,0,0.0,0.6,0.0,scheduled,summer,2014-05-03 06:00:00,2014-05-03 06:24:00,24,44325.99,0.2955066,24,44325.99,0.4,0.2955066,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-07_03,Tumble Dryer,original,summer,2014-05-07 18:55:00,2014-05-07 19:04:00,9,16741.2,0.16741200000000003,0,0.0,0.4,0.0,0,0.0,0.48,0.0,9,16741.2,0.6,0.16741200000000003,scheduled,summer,2014-05-08 06:00:00,2014-05-08 06:09:00,9,16741.2,0.11160800000000003,9,16741.2,0.4,0.11160800000000003,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-08_03,Tumble Dryer,original,summer,2014-05-08 16:18:00,2014-05-08 17:03:00,45,61859.66,0.5031252346666669,0,0.0,0.4,0.0,42,57735.6826666667,0.48,0.4618854613333336,3,4123.977333333333,0.6,0.04123977333333333,scheduled,summer,2014-05-09 06:00:00,2014-05-09 06:45:00,45,61859.66,0.4123977333333335,45,61859.66000000003,0.4,0.4123977333333335,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-10_03,Tumble Dryer,original,summer,2014-05-10 16:44:00,2014-05-10 17:06:00,22,4228.83,0.03613727454545454,0,0.0,0.4,0.0,16,3075.5127272727264,0.48,0.02460410181818181,6,1153.3172727272727,0.6,0.011533172727272728,scheduled,summer,2014-05-11 06:00:00,2014-05-11 06:22:00,22,4228.83,0.02819219999999999,22,4228.829999999999,0.4,0.02819219999999999,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-11_01,Tumble Dryer,original,summer,2014-05-11 17:17:00,2014-05-11 17:51:00,34,6721.6,0.06721600000000003,0,0.0,0.4,0.0,0,0.0,0.48,0.0,34,6721.600000000002,0.6,0.06721600000000003,scheduled,summer,2014-05-12 06:00:00,2014-05-12 06:34:00,34,6721.6,0.044810666666666686,34,6721.600000000002,0.4,0.044810666666666686,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-11_02,Tumble Dryer,original,summer,2014-05-11 19:34:00,2014-05-11 19:44:00,10,7012.95,0.07012949999999998,0,0.0,0.4,0.0,0,0.0,0.48,0.0,10,7012.95,0.6,0.07012949999999998,scheduled,summer,2014-05-12 06:34:00,2014-05-12 06:44:00,10,7012.95,0.046752999999999996,10,7012.95,0.4,0.046752999999999996,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-11_03,Tumble Dryer,original,summer,2014-05-11 20:01:00,2014-05-11 20:15:00,14,7387.13,0.05909704000000002,0,0.0,0.4,0.0,14,7387.130000000002,0.48,0.05909704000000002,0,0.0,0.6,0.0,scheduled,summer,2014-05-12 06:44:00,2014-05-12 06:58:00,14,7387.13,0.04924753333333335,14,7387.130000000002,0.4,0.04924753333333335,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-12_03,Tumble Dryer,original,summer,2014-05-12 18:37:00,2014-05-12 18:43:00,6,15062.77,0.15062769999999998,0,0.0,0.4,0.0,0,0.0,0.48,0.0,6,15062.769999999999,0.6,0.15062769999999998,scheduled,summer,2014-05-13 06:00:00,2014-05-13 06:06:00,6,15062.77,0.10041846666666665,6,15062.769999999999,0.4,0.10041846666666665,0,0.0,0.48,0.0,0,0.0,0.6,0.0
Tumble_Dryer_2014-05-12_04,Tumble Dryer,original,summer,2014-05-12 20:17:00,2014-05-12 20:48:00,31,8944.2,0.07155360000000005,0,0.0,0.4,0.0,31,8944.200000000006,0.48,0.07155360000000005,0,0.0,0.6,0.0,scheduled,summer,2014-05-13 06:06:00,2014-05-13 06:37:00,31,8944.2,0.05962800000000005,31,8944.200000000006,0.4,0.05962800000000005,0,0.0,0.48,0.0,0,0.0,0.6,0.0
