event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,season,duration(min),energy(W)
Tumble_Dryer_2014-06-02_02,Tumble Dryer,2014-06-02 14:01:00,2014-06-02 14:20:00,2014-06-03 06:00:00,2014-06-03 06:19:00,SUCCESS,summer,19.0,23408.51
Tumble_Dryer_2014-06-02_03,Tumble Dryer,2014-06-02 14:32:00,2014-06-02 14:47:00,2014-06-03 06:19:00,2014-06-03 06:34:00,SUCCESS,summer,15.0,8181.99
Tumble_Dryer_2014-06-13_01,Tumble Dryer,2014-06-13 20:36:00,2014-06-13 22:00:00,2014-06-14 06:00:00,2014-06-14 07:24:00,SUCCESS,summer,84.0,92930.31
Tumble_Dryer_2014-06-17_01,Tumble Dryer,2014-06-17 14:40:00,2014-06-17 15:31:00,2014-06-18 06:00:00,2014-06-18 06:51:00,SUCCESS,summer,51.0,55353.28
Tumble_Dryer_2014-06-18_01,Tumble Dryer,2014-06-18 14:17:00,2014-06-18 14:46:00,2014-06-19 06:00:00,2014-06-19 06:29:00,SUCCESS,summer,29.0,26677.76
Tumble_Dryer_2014-06-18_02,Tumble Dryer,2014-06-18 14:47:00,2014-06-18 14:52:00,2014-06-19 06:29:00,2014-06-19 06:34:00,SUCCESS,summer,5.0,238.62
Tumble_Dryer_2014-07-13_01,Tumble Dryer,2014-07-13 17:59:00,2014-07-13 18:13:00,2014-07-14 06:00:00,2014-07-14 06:14:00,SUCCESS,summer,14.0,19027.78
Tumble_Dryer_2014-07-13_02,Tumble Dryer,2014-07-13 18:32:00,2014-07-13 19:33:00,2014-07-14 06:14:00,2014-07-14 07:15:00,SUCCESS,summer,61.0,66700.76
Tumble_Dryer_2014-07-14_04,Tumble Dryer,2014-07-14 13:48:00,2014-07-14 14:51:00,2014-07-14 13:53:00,2014-07-14 14:56:00,SUCCESS,summer,63.0,67332.03
Tumble_Dryer_2014-07-25_01,Tumble Dryer,2014-07-25 17:36:00,2014-07-25 18:51:00,2014-07-26 06:00:00,2014-07-26 07:15:00,SUCCESS,summer,75.0,81464.09
Tumble_Dryer_2014-07-28_02,Tumble Dryer,2014-07-28 14:01:00,2014-07-28 14:58:00,2014-07-29 06:00:00,2014-07-29 06:57:00,SUCCESS,summer,57.0,57038.49
Tumble_Dryer_2014-08-01_02,Tumble Dryer,2014-08-01 14:12:00,2014-08-01 14:36:00,2014-08-02 06:00:00,2014-08-02 06:24:00,SUCCESS,summer,24.0,19399.7
Tumble_Dryer_2014-09-03_01,Tumble Dryer,2014-09-03 14:54:00,2014-09-03 15:24:00,2014-09-04 06:00:00,2014-09-04 06:30:00,SUCCESS,summer,30.0,28731.14
Tumble_Dryer_2014-09-03_03,Tumble Dryer,2014-09-03 16:27:00,2014-09-03 17:07:00,2014-09-04 06:30:00,2014-09-04 07:10:00,SUCCESS,summer,40.0,33513.15
Tumble_Dryer_2014-09-03_04,Tumble Dryer,2014-09-03 17:56:00,2014-09-03 18:55:00,2014-09-04 07:10:00,2014-09-04 08:09:00,SUCCESS,summer,59.0,69261.3
Tumble_Dryer_2014-09-07_01,Tumble Dryer,2014-09-07 17:28:00,2014-09-07 18:09:00,2014-09-08 06:00:00,2014-09-08 06:41:00,SUCCESS,summer,41.0,56512.48
Tumble_Dryer_2014-09-07_02,Tumble Dryer,2014-09-07 21:28:00,2014-09-07 22:03:00,2014-09-08 06:41:00,2014-09-08 07:16:00,SUCCESS,summer,35.0,36131.11
Tumble_Dryer_2014-09-10_01,Tumble Dryer,2014-09-10 13:38:00,2014-09-10 14:29:00,2014-09-10 13:43:00,2014-09-10 14:34:00,SUCCESS,summer,51.0,53783.99
Tumble_Dryer_2014-09-10_02,Tumble Dryer,2014-09-10 15:16:00,2014-09-10 15:57:00,2014-09-11 06:00:00,2014-09-11 06:41:00,SUCCESS,summer,41.0,39564.23
Tumble_Dryer_2014-09-10_03,Tumble Dryer,2014-09-10 16:40:00,2014-09-10 17:29:00,2014-09-11 06:41:00,2014-09-11 07:30:00,SUCCESS,summer,49.0,53682.53
Tumble_Dryer_2014-09-16_01,Tumble Dryer,2014-09-16 15:34:00,2014-09-16 16:04:00,2014-09-17 06:00:00,2014-09-17 06:30:00,SUCCESS,summer,30.0,29526.29
Tumble_Dryer_2014-09-18_01,Tumble Dryer,2014-09-18 13:58:00,2014-09-18 14:58:00,2014-09-19 06:00:00,2014-09-19 07:00:00,SUCCESS,summer,60.0,66012.2
Tumble_Dryer_2014-10-03_01,Tumble Dryer,2014-10-03 21:07:00,2014-10-03 22:29:00,2014-10-04 06:00:00,2014-10-04 07:22:00,SUCCESS,summer,82.0,98329.13
Tumble_Dryer_2015-05-29_01,Tumble Dryer,2015-05-29 16:19:00,2015-05-29 17:57:00,2015-05-30 06:00:00,2015-05-30 07:38:00,SUCCESS,summer,98.0,122938.96
Tumble_Dryer_2015-06-03_01,Tumble Dryer,2015-06-03 16:18:00,2015-06-03 17:23:00,2015-06-04 06:00:00,2015-06-04 07:05:00,SUCCESS,summer,65.0,78019.08
Tumble_Dryer_2015-06-03_03,Tumble Dryer,2015-06-03 20:09:00,2015-06-03 20:50:00,2015-06-04 07:05:00,2015-06-04 07:46:00,SUCCESS,summer,41.0,40626.88
Tumble_Dryer_2015-06-08_04,Tumble Dryer,2015-06-08 13:48:00,2015-06-08 14:21:00,2015-06-08 13:53:00,2015-06-08 14:26:00,SUCCESS,summer,33.0,29775.55
Washing_Machine_2014-06-13_01,Washing Machine,2014-06-13 19:01:00,2014-06-13 20:36:00,2014-06-14 06:00:00,2014-06-14 07:35:00,SUCCESS,summer,95.0,25710.66
Washing_Machine_2014-06-17_01,Washing Machine,2014-06-17 13:32:00,2014-06-17 14:38:00,2014-06-17 13:37:00,2014-06-17 14:43:00,SUCCESS,summer,66.0,13638.33
Washing_Machine_2014-06-18_01,Washing Machine,2014-06-18 12:45:00,2014-06-18 14:15:00,2014-06-18 12:50:00,2014-06-18 14:20:00,SUCCESS,summer,90.0,20144.85
Washing_Machine_2014-07-04_02,Washing Machine,2014-07-04 20:44:00,2014-07-04 20:56:00,2014-07-05 06:00:00,2014-07-05 06:12:00,SUCCESS,summer,12.0,92.44
Washing_Machine_2014-07-13_01,Washing Machine,2014-07-13 16:35:00,2014-07-13 17:59:00,2014-07-14 06:00:00,2014-07-14 07:24:00,SUCCESS,summer,84.0,15952.9
Washing_Machine_2014-07-25_01,Washing Machine,2014-07-25 16:04:00,2014-07-25 17:36:00,2014-07-26 06:00:00,2014-07-26 07:32:00,SUCCESS,summer,92.0,20226.54
Washing_Machine_2014-08-01_02,Washing Machine,2014-08-01 12:57:00,2014-08-01 14:11:00,2014-08-01 13:02:00,2014-08-01 14:16:00,SUCCESS,summer,74.0,8353.68
Washing_Machine_2014-08-20_03,Washing Machine,2014-08-20 19:48:00,2014-08-20 19:55:00,2014-08-21 06:00:00,2014-08-21 06:07:00,SUCCESS,summer,7.0,114.29
Washing_Machine_2014-08-20_04,Washing Machine,2014-08-20 20:05:00,2014-08-20 20:11:00,2014-08-21 06:07:00,2014-08-21 06:13:00,SUCCESS,summer,6.0,301.71
Washing_Machine_2014-09-03_01,Washing Machine,2014-09-03 13:21:00,2014-09-03 14:54:00,2014-09-03 13:26:00,2014-09-03 14:59:00,SUCCESS,summer,93.0,28546.17
Washing_Machine_2014-09-03_02,Washing Machine,2014-09-03 14:59:00,2014-09-03 16:25:00,2014-09-04 06:00:00,2014-09-04 07:26:00,SUCCESS,summer,86.0,16083.52
Washing_Machine_2014-09-03_03,Washing Machine,2014-09-03 16:39:00,2014-09-03 17:53:00,2014-09-04 07:26:00,2014-09-04 08:40:00,SUCCESS,summer,74.0,16579.64
Washing_Machine_2014-09-04_02,Washing Machine,2014-09-04 20:56:00,2014-09-04 21:01:00,2014-09-05 06:00:00,2014-09-05 06:05:00,SUCCESS,summer,5.0,29.0
Washing_Machine_2014-09-07_02,Washing Machine,2014-09-07 16:09:00,2014-09-07 17:27:00,2014-09-08 06:00:00,2014-09-08 07:18:00,SUCCESS,summer,78.0,20795.65
Washing_Machine_2014-09-10_03,Washing Machine,2014-09-10 13:54:00,2014-09-10 15:10:00,2014-09-11 06:00:00,2014-09-11 07:16:00,SUCCESS,summer,76.0,8371.94
Washing_Machine_2014-09-10_04,Washing Machine,2014-09-10 15:27:00,2014-09-10 16:39:00,2014-09-11 07:16:00,2014-09-11 08:28:00,SUCCESS,summer,72.0,16915.1
Washing_Machine_2014-09-16_01,Washing Machine,2014-09-16 13:30:00,2014-09-16 15:33:00,2014-09-16 13:35:00,2014-09-16 15:38:00,SUCCESS,summer,123.0,18024.18
