month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-10,53.7104,62.02159999999999,182.4185,182.4185
2013-11,32.8741,38.3478,112.7969,112.7969
2013-12,33.7278,39.3221,115.6492,115.6492
2014-01,25.4795,29.586,87.0185,87.0185
2014-02,30.3248,35.873799999999996,105.511,105.511
2014-04,32.1272,37.6373,110.6971,110.6971
2014-05,34.5069,40.5741,119.3321,119.3321
2014-06,37.7517,44.1559,129.8683,129.8683
2014-07,39.3336,46.1196,135.6479,135.6479
2014-08,35.5873,41.8284,123.0252,123.0252
2014-09,51.3252,59.8856,176.1342,176.1342
2014-10,32.0526,37.527,110.3759,110.3759
2014-11,33.2158,38.7238,113.8942,113.8942
2014-12,32.1724,37.4734,110.2201,110.2201
2015-01,31.4412,36.4782,107.2915,107.2915
2015-02,29.8551,34.683,102.0187,102.0187
2015-03,28.1605,33.0212,97.156,97.156
2015-04,26.1873,30.4128,89.445,89.445
2015-05,24.1555,27.9756,82.2863,82.2863
2015-06,16.1736,18.7791,55.2308,55.2308
2015-07,8.3477,9.699,28.5278,28.5278
