event_id,appliance_name,appliance_id,shiftability,is_reschedulable,start_time,end_time,duration_minutes,energy_w,cost_calculated,low_price_power,high_price_power,total_minutes,missing_minutes,tariff_type
Fridge_2013-11-01_01,Fridge,Appliance1,Base,False,2013-11-01 22:20:00,2013-11-01 22:36:00,16.0,1161.7,0.005808499999999999,0.0,1.1617000000000002,17,0,Economy_7
Fridge_2013-11-01_02,Fridge,Appliance1,Base,False,2013-11-01 23:31:00,2013-11-01 23:46:00,15.0,1111.29,0.005556444444444445,0.0,1.111288888888889,16,0,Economy_7
Fridge_2013-11-02_01,Fridge,Appliance1,Base,False,2013-11-02 00:41:00,2013-11-02 00:55:00,14.0,1023.94,0.00255984595959596,1.0239383838383838,0.0,15,0,Economy_7
Fridge_2013-11-02_02,Fridge,Appliance1,Base,False,2013-11-02 01:51:00,2013-11-02 02:05:00,14.0,1004.4,0.0025109999999999998,1.0044000000000002,0.0,15,0,Economy_7
Fridge_2013-11-02_03,Fridge,Appliance1,Base,False,2013-11-02 03:03:00,2013-11-02 03:17:00,14.0,991.59,0.0024789873737373733,0.9915949494949495,0.0,15,0,Economy_7
Fridge_2013-11-02_04,Fridge,Appliance1,Base,False,2013-11-02 04:18:00,2013-11-02 04:32:00,14.0,1016.67,0.0025416666666666665,1.0166666666666666,0.0,15,0,Economy_7
Fridge_2013-11-02_05,Fridge,Appliance1,Base,False,2013-11-02 05:36:00,2013-11-02 05:50:00,14.0,997.51,0.0024937828282828277,0.9975131313131312,0.0,15,0,Economy_7
Fridge_2013-11-02_06,Fridge,Appliance1,Base,False,2013-11-02 06:52:00,2013-11-02 07:07:00,15.0,1043.16,0.0026079090909090904,1.043163636363636,0.0,16,0,Economy_7
Fridge_2013-11-02_07,Fridge,Appliance1,Base,False,2013-11-02 07:23:00,2013-11-02 07:29:00,6.0,60.71,0.00015177777777777778,0.060711111111111105,0.0,7,0,Economy_7
Fridge_2013-11-02_08,Fridge,Appliance1,Base,False,2013-11-02 07:54:00,2013-11-02 08:10:00,16.0,1129.8,0.0056489999999999995,0.0,1.1298,17,0,Economy_7
Fridge_2013-11-02_09,Fridge,Appliance1,Base,False,2013-11-02 09:07:00,2013-11-02 09:22:00,15.0,1107.59,0.0055379305555555555,0.0,1.1075861111111112,16,0,Economy_7
Fridge_2013-11-02_10,Fridge,Appliance1,Base,False,2013-11-02 10:21:00,2013-11-02 10:37:00,16.0,1044.5,0.0052225,0.0,1.0445,17,0,Economy_7
Fridge_2013-11-02_11,Fridge,Appliance1,Base,False,2013-11-02 11:32:00,2013-11-02 11:46:00,14.0,1064.18,0.005320914141414142,0.0,1.0641828282828283,15,0,Economy_7
Fridge_2013-11-02_12,Fridge,Appliance1,Base,False,2013-11-02 12:46:00,2013-11-02 13:01:00,15.0,1049.94,0.0052497222222222225,0.0,1.0499444444444446,16,0,Economy_7
Fridge_2013-11-02_13,Fridge,Appliance1,Base,False,2013-11-02 14:02:00,2013-11-02 14:17:00,15.0,1092.19,0.0054609444444444445,0.0,1.0921888888888889,16,0,Economy_7
Fridge_2013-11-02_14,Fridge,Appliance1,Base,False,2013-11-02 15:16:00,2013-11-02 15:31:00,15.0,1064.5,0.0053225,0.0,1.0645,16,0,Economy_7
Fridge_2013-11-02_15,Fridge,Appliance1,Base,False,2013-11-02 16:34:00,2013-11-02 16:49:00,15.0,1103.98,0.00551990404040404,0.0,1.1039808080808082,16,0,Economy_7
Fridge_2013-11-02_16,Fridge,Appliance1,Base,False,2013-11-02 17:47:00,2013-11-02 18:03:00,16.0,1198.6,0.005992999999999999,0.0,1.1985999999999999,17,0,Economy_7
