month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-11,107.9256,144.8657,241.446,241.446
2013-12,74.1651,98.741,164.5702,164.5702
2014-01,55.1201,73.451,122.4229,122.4229
2014-02,594.4818,806.3928,1343.9881,1343.9881
2014-03,1.2945,1.5634,2.6055,2.6055
2014-04,74.2055,98.6498,164.4169,164.4169
2014-05,169.9076,226.87990000000002,378.1322,378.1322
2014-06,112.8177,148.0419,246.7396,246.7396
2014-07,34.8015,43.1015,71.8343,71.8343
2014-08,48.7042,61.8975,103.1611,103.1611
2014-09,68.7194,84.8105,141.3497,141.3497
2014-10,67.2417,89.7956,149.6623,149.6623
2014-11,97.8985,130.6086,217.682,217.682
2014-12,48.7279,64.4994,107.5026,107.5026
2015-01,44.2864,58.4081,97.3482,97.3482
2015-02,86.5192,116.3997,193.9992,193.9992
2015-03,47.4586,64.0783,106.7951,106.7951
2015-04,43.3083,58.1202,96.8686,96.8686
2015-05,30.686700000000002,41.4545,69.0922,69.0922
2015-06,8.5783,11.2323,18.721,18.721
