label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Magimix (Blender)),68.3928,91.841,153.0719,153.0719
Appliance2 (Freezer),82.2719,111.1773,185.2973,185.2973
Appliance3 (Chest Freezer (In Garage)),242.1566,326.0474,543.4266,543.4266
Appliance4 (Fridge-Freezer),130.1002,174.8409,291.4002,291.4002
Appliance5 (Washing Machine),187.0618,239.0568,398.4296,398.4296
Appliance6 (Dishwasher),762.9832,1019.1379,1698.5586,1698.5586
Appliance7 (Television Site),310.7955,418.1242,696.8739,696.8739
Appliance8 (Microwave),16.0418,21.5042,35.8431,35.8431
Appliance9 (Kenwood KMix),17.0448,21.262,35.4365,35.4365
Total,1816.8486,2422.9917,4038.3377,4038.3377
