appliance_id,appliance_name,month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1,Fridge,2014-03,2.3612,2.1941,2.736,9.1183,9.1183,9.1183
Appliance1,Fridge,2014-04,5.0212,4.5793,5.8416,19.4725,19.4725,19.4725
Appliance1,Fridge,2014-05,3.9978,3.6508,4.6097,15.364,15.364,15.364
Appliance1,Fridge,2014-06,5.0284,4.5578,5.7407,19.1371,19.1371,19.1371
Appliance1,Fridge,2014-07,1.6147,1.4524,1.8128,6.0439,6.0439,6.0439
Appliance1,Fridge,2014-08,0.049,0.0506,0.052199999999999996,0.1736,0.1736,0.1736
Appliance1,Fridge,2014-09,0.7347,0.6355999999999999,0.7899,2.633,2.633,2.633
Appliance1,Fridge,2014-10,1.3452,1.2367000000000001,1.5534999999999999,5.178,5.178,5.178
Appliance1,Fridge,2014-11,0.0395,0.0296,0.0414,0.1381,0.1381,0.1381
Appliance1,Fridge,2014-12,0.28250000000000003,0.2645,0.3243,1.0807,1.0807,1.0807
Appliance1,Fridge,2015-01,0.5949,0.49570000000000003,0.6325000000000001,2.1079,2.1079,2.1079
Appliance1,Fridge,2015-02,0.2364,0.2104,0.2513,0.8392,0.8392,0.8392
Appliance1,Fridge,2015-03,0.0956,0.0743,0.0956,0.3194,0.3194,0.3194
Appliance1,Fridge,2015-04,0.0386,0.032600000000000004,0.0424,0.1414,0.1414,0.1414
Appliance1,Fridge,2015-05,0.2995,0.235,0.2995,0.9984999999999999,0.9984999999999999,0.9984999999999999
Appliance2,Freezer,2014-03,7.2841,6.636,8.3612,27.8728,27.8728,27.8728
Appliance2,Freezer,2014-04,10.1643,9.2662,11.6774,38.9222,38.9222,38.9222
Appliance2,Freezer,2014-05,11.882,10.7625,13.6382,45.4615,45.4615,45.4615
Appliance2,Freezer,2014-06,13.659,12.5022,15.65,52.1642,52.1642,52.1642
Appliance2,Freezer,2014-07,15.404,13.9688,17.6217,58.7378,58.7378,58.7378
Appliance2,Freezer,2014-08,14.3855,13.1983,16.6291,55.432,55.432,55.432
Appliance2,Freezer,2014-09,13.634,12.4787,15.5514,51.8368,51.8368,51.8368
Appliance2,Freezer,2014-10,10.6035,9.7075,12.3072,41.0167,41.0167,41.0167
Appliance2,Freezer,2014-11,7.2571,6.6891,8.4518,28.172,28.172,28.172
Appliance2,Freezer,2014-12,7.2677,6.7227,8.5084,28.3607,28.3607,28.3607
Appliance2,Freezer,2015-01,7.1716,6.6444,8.3973,27.9927,27.9927,27.9927
Appliance2,Freezer,2015-02,6.3389,5.8371,7.3976,24.6613,24.6613,24.6613
Appliance2,Freezer,2015-03,7.6561,6.9906,8.8493,29.4951,29.4951,29.4951
Appliance2,Freezer,2015-04,9.4869,8.5174,10.788,35.9589,35.9589,35.9589
Appliance2,Freezer,2015-05,4.7581,4.3024000000000004,5.4721,18.241,18.241,18.241
Appliance3,Fridge-Freezer,2014-03,10.0954,9.2691,11.6385,38.7911,38.7911,38.7911
Appliance3,Fridge-Freezer,2014-04,12.0612,11.0533,13.7387,45.794,45.794,45.794
Appliance3,Fridge-Freezer,2014-05,11.1515,10.318200000000001,12.8723,42.9061,42.9061,42.9061
Appliance3,Fridge-Freezer,2014-06,12.4149,11.4157,14.3079,47.6961,47.6961,47.6961
Appliance3,Fridge-Freezer,2014-07,12.4598,11.5556,14.4712,48.2332,48.2332,48.2332
Appliance3,Fridge-Freezer,2014-08,10.7428,9.8978,12.4929,41.6352,41.6352,41.6352
Appliance3,Fridge-Freezer,2014-09,13.6794,12.5756,15.7675,52.5542,52.5542,52.5542
Appliance3,Fridge-Freezer,2014-10,12.4635,11.4219,14.3345,47.7804,47.7804,47.7804
Appliance3,Fridge-Freezer,2014-11,10.7422,9.8544,12.4049,41.352,41.352,41.352
Appliance3,Fridge-Freezer,2014-12,12.2203,11.2008,14.1028,47.0047,47.0047,47.0047
Appliance3,Fridge-Freezer,2015-01,11.7613,10.7587,13.6192,45.3936,45.3936,45.3936
Appliance3,Fridge-Freezer,2015-02,9.4051,8.7142,10.9735,36.5789,36.5789,36.5789
Appliance3,Fridge-Freezer,2015-03,11.426,10.4861,13.2281,44.0923,44.0923,44.0923
Appliance3,Fridge-Freezer,2015-04,10.4675,9.5761,11.9661,39.8835,39.8835,39.8835
Appliance3,Fridge-Freezer,2015-05,5.5115,5.0558,6.3585,21.1973,21.1973,21.1973
Appliance4,Washer Dryer,2014-03,0.0047,0.0044,0.0047,0.0161,0.0161,0.0161
Appliance4,Washer Dryer,2014-04,0.0651,0.032600000000000004,0.0651,0.217,0.217,0.217
Appliance4,Washer Dryer,2014-05,0.0036,0.0043,0.0045000000000000005,0.0155,0.0155,0.0155
Appliance4,Washer Dryer,2014-06,0.9437,0.8083,0.9437,3.1456,3.1456,3.1456
Appliance4,Washer Dryer,2014-07,0.0903,0.0903,0.0903,0.3009,0.3009,0.3009
Appliance4,Washer Dryer,2014-08,0.49760000000000004,0.2977,0.49760000000000004,1.6586,1.6586,1.6586
Appliance4,Washer Dryer,2014-09,0.3515,0.3019,0.3515,1.1719,1.1719,1.1719
Appliance4,Washer Dryer,2014-10,0.275,0.1679,0.275,0.9167,0.9167,0.9167
Appliance4,Washer Dryer,2014-11,0.010700000000000001,0.0106,0.0212,0.0708,0.0708,0.0708
Appliance4,Washer Dryer,2014-12,0.6905,0.6879,0.6936,2.3118,2.3118,2.3118
Appliance4,Washer Dryer,2015-01,0.0001,0.0001,0.0001,0.0005,0.0005,0.0005
Appliance4,Washer Dryer,2015-02,0.0066,0.0054,0.0068000000000000005,0.022699999999999998,0.022699999999999998,0.022699999999999998
Appliance4,Washer Dryer,2015-03,0.2871,0.1436,0.2871,0.9570000000000001,0.9570000000000001,0.9570000000000001
Appliance4,Washer Dryer,2015-04,0.1702,0.0851,0.1702,0.5673,0.5673,0.5673
Appliance4,Washer Dryer,2015-05,0.21589999999999998,0.21599999999999997,0.2161,0.721,0.721,0.721
Appliance5,Washing Machine,2014-03,1.028,1.0251,1.0281,3.4265000000000003,3.4265000000000003,3.4265000000000003
Appliance5,Washing Machine,2014-04,1.2429999999999999,1.1943,1.2429999999999999,4.1434,4.1434,4.1434
Appliance5,Washing Machine,2014-05,0.5608,0.6318,0.6318,2.1061,2.1061,2.1061
Appliance5,Washing Machine,2014-06,1.3388,1.3213000000000001,1.3941000000000001,4.6463,4.6463,4.6463
Appliance5,Washing Machine,2014-07,0.3912,0.4591,0.4591,1.5304,1.5304,1.5304
Appliance5,Washing Machine,2014-08,1.0589,1.0287,1.0589,3.5297,3.5297,3.5297
Appliance5,Washing Machine,2014-09,0.8002,0.7999,0.8002,2.6673,2.6673,2.6673
Appliance5,Washing Machine,2014-10,0.7976,0.7353000000000001,0.7976,2.6584,2.6584,2.6584
Appliance5,Washing Machine,2014-11,0.7868,0.7472,0.7868,2.6231,2.6231,2.6231
Appliance5,Washing Machine,2014-12,1.4637,1.3415,1.4637,4.879,4.879,4.879
Appliance5,Washing Machine,2015-01,0.8039000000000001,0.8012,0.8039000000000001,2.6793,2.6793,2.6793
