label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Fridge-Freezer),204.9203,274.9059,458.1726,458.1726
Appliance2 (Tumble Dryer),75.1558,96.4079,160.6805,160.6805
Appliance3 (Washing Machine),41.4332,56.3053,93.8438,93.8438
Appliance4 (Dishwasher),158.7881,211.7895,352.9925,352.9925
Appliance5 (Food Mixer),0.2538,0.3374,0.5634,0.5634
Appliance6 (Television),31.7705,40.9787,68.2958,68.2958
Appliance7 (Toaster),18.862,24.2437,40.4063,40.4063
Appliance8 (Vivarium),89.7407,121.4808,202.468,202.468
Appliance9 (Pond Pump),121.1926,163.9536,273.2559,273.2559
Total,742.117,990.4028000000001,1650.6788000000001,1650.6788000000001
