month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-03,33.9481,45.423,75.7026,75.7026
2014-04,61.3876,82.0436,136.743,136.743
2014-05,32.3666,43.3311,72.2207,72.2207
2014-06,36.5151,45.7457,76.2435,76.2435
2014-07,23.1648,30.1774,50.2952,50.2952
2014-08,45.494299999999996,59.9156,99.8577,99.8577
2014-09,45.8939,61.297,102.1604,102.1604
2014-10,71.729,96.5471,160.9149,160.9149
2014-11,49.3508,65.622,109.3695,109.3695
2014-12,72.4114,97.9348,163.2261,163.2261
2015-01,38.449,51.0861,85.1431,85.1431
2015-02,37.0513,49.165,81.9427,81.9427
2015-03,93.6156,126.66839999999999,211.1133,211.1133
2015-04,21.6461,29.0933,48.491,48.491
2015-05,18.951,25.7485,42.9142,42.9142
2015-06,60.142399999999995,80.60419999999999,134.3409,134.3409
