event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,time_shift_hours,power_profile_points
Tumble_Dryer_2014-03-21_01,Tumble Dryer,Appliance3,2014-03-21 09:43:00,2014-03-21 11:02:00,2014-03-21 13:13:00,2014-03-21 14:32:00,79,0.4818849442640693,0.24094247213203465,0.24094247213203465,50.0,3.5,79
Tumble_Dryer_2014-03-21_02,Tumble Dryer,Appliance3,2014-03-21 11:06:00,2014-03-21 11:58:00,2014-03-21 14:36:00,2014-03-21 15:28:00,52,0.27237241847041854,0.13618620923520927,0.13618620923520927,50.0,3.5,52
Tumble_Dryer_2014-03-24_01,Tumble Dryer,Appliance3,2014-03-24 10:33:00,2014-03-24 11:20:00,2014-03-24 13:03:00,2014-03-24 13:50:00,47,0.26344299585137093,0.13172149792568547,0.13172149792568547,50.0,2.5,47
Tumble_Dryer_2014-03-30_01,Tumble Dryer,Appliance3,2014-03-30 12:51:00,2014-03-30 13:18:00,2014-03-30 13:06:00,2014-03-30 13:33:00,27,0.1228958851010101,0.09281512941919191,0.030080755681818186,24.47661746940862,0.25,27
Tumble_Dryer_2014-03-31_01,Tumble Dryer,Appliance3,2014-03-31 08:07:00,2014-03-31 08:48:00,2014-03-31 13:07:00,2014-03-31 13:48:00,41,0.21901909992784988,0.10950954996392494,0.10950954996392494,50.0,5.0,41
Tumble_Dryer_2014-03-31_02,Tumble Dryer,Appliance3,2014-03-31 10:24:00,2014-03-31 11:08:00,2014-03-31 13:54:00,2014-03-31 14:38:00,44,0.23980245562770558,0.11990122781385279,0.11990122781385279,50.0,3.5,44
Tumble_Dryer_2014-04-07_01,Tumble Dryer,Appliance3,2014-04-07 08:33:00,2014-04-07 08:55:00,2014-04-07 13:03:00,2014-04-07 13:25:00,22,0.15430454166666663,0.07715227083333331,0.07715227083333331,50.0,4.5,22
Tumble_Dryer_2014-04-07_02,Tumble Dryer,Appliance3,2014-04-07 08:56:00,2014-04-07 09:38:00,2014-04-07 13:26:00,2014-04-07 14:08:00,42,0.1683521071428571,0.08417605357142854,0.08417605357142854,50.0,4.5,42
Tumble_Dryer_2014-04-07_03,Tumble Dryer,Appliance3,2014-04-07 10:10:00,2014-04-07 11:03:00,2014-04-07 14:10:00,2014-04-07 15:03:00,53,0.28908382142857136,0.14454191071428568,0.14454191071428568,50.0,4.0,53
Tumble_Dryer_2014-04-09_02,Tumble Dryer,Appliance3,2014-04-09 23:15:00,2014-04-09 23:20:00,2014-04-10 13:00:00,2014-04-10 13:05:00,5,0.00144,0.00072,0.00072,50.0,13.75,5
Tumble_Dryer_2014-04-11_01,Tumble Dryer,Appliance3,2014-04-11 08:35:00,2014-04-11 09:55:00,2014-04-11 13:05:00,2014-04-11 14:25:00,80,0.4792749998196248,0.2396374999098124,0.2396374999098124,50.0,4.5,80
Tumble_Dryer_2014-04-14_01,Tumble Dryer,Appliance3,2014-04-14 09:01:00,2014-04-14 09:49:00,2014-04-14 13:01:00,2014-04-14 13:49:00,48,0.26564163888888886,0.13282081944444443,0.13282081944444443,50.0,4.0,48
Tumble_Dryer_2014-04-14_02,Tumble Dryer,Appliance3,2014-04-14 10:59:00,2014-04-14 11:49:00,2014-04-14 13:59:00,2014-04-14 14:49:00,50,0.2821483248556997,0.14107416242784984,0.14107416242784984,50.0,3.0,50
Tumble_Dryer_2014-04-19_01,Tumble Dryer,Appliance3,2014-04-19 15:50:00,2014-04-19 17:02:00,2014-04-19 20:05:00,2014-04-19 21:17:00,72,0.3934702222222223,0.21510478373015873,0.17836543849206354,45.331369038475074,4.25,72
Tumble_Dryer_2014-04-22_02,Tumble Dryer,Appliance3,2014-04-22 10:00:00,2014-04-22 10:52:00,2014-04-22 13:00:00,2014-04-22 13:52:00,52,0.2933195773809524,0.1466597886904762,0.1466597886904762,50.0,3.0,52
Tumble_Dryer_2014-04-22_04,Tumble Dryer,Appliance3,2014-04-22 10:57:00,2014-04-22 11:02:00,2014-04-22 13:57:00,2014-04-22 14:02:00,5,0.00020963492063492064,0.00010481746031746032,0.00010481746031746032,50.0,3.0,5
Tumble_Dryer_2014-04-22_06,Tumble Dryer,Appliance3,2014-04-22 11:28:00,2014-04-22 12:20:00,2014-04-22 14:13:00,2014-04-22 15:05:00,52,0.2723973511904761,0.13619867559523804,0.13619867559523804,50.0,2.75,52
Tumble_Dryer_2014-04-25_01,Tumble Dryer,Appliance3,2014-04-25 08:38:00,2014-04-25 09:54:00,2014-04-25 13:08:00,2014-04-25 14:24:00,76,0.41922396428571423,0.20961198214285712,0.20961198214285712,50.0,4.5,76
Tumble_Dryer_2014-04-28_01,Tumble Dryer,Appliance3,2014-04-28 08:37:00,2014-04-28 09:25:00,2014-04-28 13:07:00,2014-04-28 13:55:00,48,0.2357398174603173,0.11786990873015865,0.11786990873015865,50.0,4.5,45
Tumble_Dryer_2014-04-28_02,Tumble Dryer,Appliance3,2014-04-28 10:59:00,2014-04-28 11:04:00,2014-04-28 13:59:00,2014-04-28 14:04:00,5,0.0014199999999999998,0.0007099999999999999,0.0007099999999999999,50.0,3.0,5
Tumble_Dryer_2014-05-01_01,Tumble Dryer,Appliance3,2014-05-01 09:57:00,2014-05-01 10:49:00,2014-05-01 13:12:00,2014-05-01 14:04:00,52,0.2913245416666667,0.14566227083333336,0.14566227083333336,50.0,3.25,52
Tumble_Dryer_2014-05-09_01,Tumble Dryer,Appliance3,2014-05-09 08:33:00,2014-05-09 09:49:00,2014-05-09 13:03:00,2014-05-09 14:19:00,76,0.46647672420634906,0.23323836210317453,0.23323836210317453,50.0,4.5,76
Tumble_Dryer_2014-05-09_02,Tumble Dryer,Appliance3,2014-05-09 09:52:00,2014-05-09 10:28:00,2014-05-09 14:22:00,2014-05-09 14:58:00,36,0.18264984523809522,0.09132492261904761,0.09132492261904761,50.0,4.5,36
Tumble_Dryer_2014-05-09_03,Tumble Dryer,Appliance3,2014-05-09 11:30:00,2014-05-09 11:59:00,2014-05-09 15:00:00,2014-05-09 15:29:00,29,0.12730602777777775,0.06365301388888887,0.06365301388888887,50.0,3.5,29
Tumble_Dryer_2014-05-23_02,Tumble Dryer,Appliance3,2014-05-23 22:55:00,2014-05-23 23:02:00,2014-05-24 13:10:00,2014-05-24 13:17:00,7,0.0010133333333333333,0.0005066666666666667,0.0005066666666666667,50.0,14.25,7
Tumble_Dryer_2014-05-27_01,Tumble Dryer,Appliance3,2014-05-27 08:12:00,2014-05-27 08:56:00,2014-05-27 13:12:00,2014-05-27 13:56:00,44,0.2385560416666667,0.11927802083333335,0.11927802083333335,50.0,5.0,44
Tumble_Dryer_2014-05-27_08,Tumble Dryer,Appliance3,2014-05-27 09:27:00,2014-05-27 10:11:00,2014-05-27 13:57:00,2014-05-27 14:41:00,44,0.2405753333333334,0.1202876666666667,0.1202876666666667,50.0,4.5,43
Tumble_Dryer_2014-05-27_09,Tumble Dryer,Appliance3,2014-05-27 11:13:00,2014-05-27 11:46:00,2014-05-27 14:43:00,2014-05-27 15:16:00,33,0.14275218055555555,0.07137609027777778,0.07137609027777778,50.0,3.5,33
Tumble_Dryer_2014-05-27_10,Tumble Dryer,Appliance3,2014-05-27 11:51:00,2014-05-27 12:18:00,2014-05-27 15:21:00,2014-05-27 15:48:00,27,0.11179629365079363,0.055898146825396816,0.055898146825396816,50.0,3.5,23
Tumble_Dryer_2014-05-27_11,Tumble Dryer,Appliance3,2014-05-27 12:29:00,2014-05-27 13:46:00,2014-05-27 20:14:00,2014-05-27 21:31:00,77,0.34819200595238115,0.23992887103174615,0.108263134920635,31.092940983671262,7.75,77
Tumble_Dryer_2014-05-30_02,Tumble Dryer,Appliance3,2014-05-30 09:05:00,2014-05-30 10:16:00,2014-05-30 13:05:00,2014-05-30 14:16:00,71,0.3704994742063492,0.1852497371031746,0.1852497371031746,50.0,4.0,71
Tumble_Dryer_2014-06-02_01,Tumble Dryer,Appliance3,2014-06-02 09:12:00,2014-06-02 10:12:00,2014-06-02 13:12:00,2014-06-02 14:12:00,60,0.3122900734126982,0.1561450367063491,0.1561450367063491,50.0,4.0,59
Tumble_Dryer_2014-06-06_01,Tumble Dryer,Appliance3,2014-06-06 08:35:00,2014-06-06 09:45:00,2014-06-06 13:05:00,2014-06-06 14:15:00,70,0.393468759920635,0.1967343799603175,0.1967343799603175,50.0,4.5,70
Tumble_Dryer_2014-06-09_01,Tumble Dryer,Appliance3,2014-06-09 08:47:00,2014-06-09 10:00:00,2014-06-09 13:02:00,2014-06-09 14:15:00,73,0.4407228843795095,0.22036144218975476,0.22036144218975476,50.0,4.25,73
Tumble_Dryer_2014-06-12_01,Tumble Dryer,Appliance3,2014-06-12 08:12:00,2014-06-12 09:13:00,2014-06-12 13:12:00,2014-06-12 14:13:00,61,0.340912992063492,0.170456496031746,0.170456496031746,50.0,5.0,61
Tumble_Dryer_2014-06-16_01,Tumble Dryer,Appliance3,2014-06-16 08:29:00,2014-06-16 09:15:00,2014-06-16 13:14:00,2014-06-16 14:00:00,46,0.2529257301587301,0.12646286507936505,0.12646286507936505,50.0,4.75,46
Tumble_Dryer_2014-06-20_01,Tumble Dryer,Appliance3,2014-06-20 08:35:00,2014-06-20 09:55:00,2014-06-20 13:05:00,2014-06-20 14:25:00,80,0.4780693937165775,0.23903469685828874,0.23903469685828874,50.0,4.5,79
