month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-03,123.99889999999999,143.4702,421.96990000000005,421.96990000000005
2014-04,38.5558,44.437599999999996,130.6925,130.6925
2014-05,106.65299999999999,122.47659999999999,360.2321,360.2321
2014-06,43.335,50.0738,147.2756,147.2756
2014-07,40.8299,47.457,139.5744,139.5744
2014-08,36.4661,42.5868,125.26,125.26
2014-09,41.6342,48.3054,142.0632,142.0632
2014-10,35.4857,41.5383,122.1684,122.1684
2014-11,27.4869,32.1269,94.4896,94.4896
2014-12,32.5646,37.7761,111.104,111.104
2015-01,29.6036,34.6724,101.9748,101.9748
2015-02,52.8537,60.9018,179.1195,179.1195
2015-03,31.9146,37.0126,108.8606,108.8606
2015-04,30.9876,35.7853,105.2508,105.2508
2015-05,16.6321,19.3005,56.766,56.766
