month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-01,110.9448,149.3383,248.8985,248.8985
2014-02,13.5192,17.7729,29.6212,29.6212
2014-03,81.8023,108.7865,181.3125,181.3125
2014-04,68.5975,90.6919,151.1541,151.1541
2014-05,73.162,96.7405,161.2312,161.2312
2014-06,59.8093,75.1185,125.1947,125.1947
2014-07,23.544,30.0652,50.1071,50.1071
2014-08,60.7178,78.8874,131.4801,131.4801
2014-09,64.3094,81.97409999999999,136.6238,136.6238
2014-10,66.3253,88.9517,148.2555,148.2555
2014-11,36.5928,48.4166,80.6919,80.6919
2014-12,122.55539999999999,163.1606,271.9268,271.9268
2015-01,55.7139,74.0718,123.4506,123.4506
2015-02,51.078,67.9317,113.2171,113.2171
2015-03,44.1133,58.5565,97.5857,97.5857
2015-04,44.7131,59.6258,99.3749,99.3749
2015-05,12.6289,17.0737,28.4545,28.4545
2015-06,11.9152,15.9585,26.5965,26.5965
2015-07,5.3026,6.9691,11.616,11.616
